[1] Train loss: 1.408, Train acc: 0.397
[1] Validation loss: 1.052, Validation acc: 0.584
[2] Train loss: 0.579, Train acc: 0.788
[2] Validation loss: 0.531, Validation acc: 0.806
[3] Train loss: 0.217, Train acc: 0.930
[3] Validation loss: 0.313, Validation acc: 0.885
[4] Train loss: 0.095, Train acc: 0.971
[4] Validation loss: 0.222, Validation acc: 0.919
[5] Train loss: 0.072, Train acc: 0.976
[5] Validation loss: 0.193, Validation acc: 0.932
[6] Train loss: 0.037, Train acc: 0.990
[6] Validation loss: 0.167, Validation acc: 0.942
[7] Train loss: 0.029, Train acc: 0.992
[7] Validation loss: 0.161, Validation acc: 0.943
[8] Train loss: 0.017, Train acc: 0.997
[8] Validation loss: 0.132, Validation acc: 0.950
[9] Train loss: 0.010, Train acc: 0.999
[9] Validation loss: 0.115, Validation acc: 0.960
[10] Train loss: 0.006, Train acc: 1.000
[10] Validation loss: 0.096, Validation acc: 0.966
[11] Train loss: 0.003, Train acc: 1.000
[11] Validation loss: 0.088, Validation acc: 0.970
[12] Train loss: 0.003, Train acc: 1.000
[12] Validation loss: 0.082, Validation acc: 0.971
[13] Train loss: 0.002, Train acc: 1.000
[13] Validation loss: 0.080, Validation acc: 0.972
[14] Train loss: 0.002, Train acc: 1.000
[14] Validation loss: 0.074, Validation acc: 0.975
[15] Train loss: 0.001, Train acc: 1.000
[15] Validation loss: 0.073, Validation acc: 0.973
[16] Train loss: 0.001, Train acc: 1.000
[16] Validation loss: 0.070, Validation acc: 0.976
[17] Train loss: 0.001, Train acc: 1.000
[17] Validation loss: 0.071, Validation acc: 0.975
[18] Train loss: 0.001, Train acc: 1.000
[18] Validation loss: 0.067, Validation acc: 0.976
[19] Train loss: 0.001, Train acc: 1.000
[19] Validation loss: 0.065, Validation acc: 0.978
[20] Train loss: 0.001, Train acc: 1.000
[20] Validation loss: 0.065, Validation acc: 0.978
[21] Train loss: 0.001, Train acc: 1.000
[21] Validation loss: 0.063, Validation acc: 0.978
[22] Train loss: 0.001, Train acc: 1.000
[22] Validation loss: 0.061, Validation acc: 0.979
[23] Train loss: 0.001, Train acc: 1.000
[23] Validation loss: 0.060, Validation acc: 0.979
[24] Train loss: 0.001, Train acc: 1.000
[24] Validation loss: 0.059, Validation acc: 0.980
[25] Train loss: 0.001, Train acc: 1.000
[25] Validation loss: 0.059, Validation acc: 0.980
[26] Train loss: 0.001, Train acc: 1.000
[26] Validation loss: 0.061, Validation acc: 0.980
[27] Train loss: 0.001, Train acc: 1.000
[27] Validation loss: 0.058, Validation acc: 0.980
[28] Train loss: 0.001, Train acc: 1.000
[28] Validation loss: 0.056, Validation acc: 0.981
[29] Train loss: 0.001, Train acc: 1.000
[29] Validation loss: 0.056, Validation acc: 0.981
[30] Train loss: 0.000, Train acc: 1.000
[30] Validation loss: 0.057, Validation acc: 0.981
[31] Train loss: 0.001, Train acc: 1.000
[31] Validation loss: 0.054, Validation acc: 0.982
[32] Train loss: 0.001, Train acc: 1.000
[32] Validation loss: 0.054, Validation acc: 0.984
[33] Train loss: 0.000, Train acc: 1.000
[33] Validation loss: 0.052, Validation acc: 0.983
[34] Train loss: 0.000, Train acc: 1.000
[34] Validation loss: 0.052, Validation acc: 0.983
[35] Train loss: 0.001, Train acc: 1.000
[35] Validation loss: 0.052, Validation acc: 0.982
[36] Train loss: 0.000, Train acc: 1.000
[36] Validation loss: 0.051, Validation acc: 0.983
[37] Train loss: 0.000, Train acc: 1.000
[37] Validation loss: 0.051, Validation acc: 0.983
[38] Train loss: 0.000, Train acc: 1.000
[38] Validation loss: 0.048, Validation acc: 0.984
[39] Train loss: 0.000, Train acc: 1.000
[39] Validation loss: 0.052, Validation acc: 0.982
[40] Train loss: 0.000, Train acc: 1.000
[40] Validation loss: 0.050, Validation acc: 0.983
[41] Train loss: 0.000, Train acc: 1.000
[41] Validation loss: 0.048, Validation acc: 0.985
[42] Train loss: 0.000, Train acc: 1.000
[42] Validation loss: 0.048, Validation acc: 0.985
[43] Train loss: 0.000, Train acc: 1.000
[43] Validation loss: 0.048, Validation acc: 0.985
[44] Train loss: 0.000, Train acc: 1.000
[44] Validation loss: 0.050, Validation acc: 0.984
[45] Train loss: 0.000, Train acc: 1.000
[45] Validation loss: 0.046, Validation acc: 0.986
[46] Train loss: 0.000, Train acc: 1.000
[46] Validation loss: 0.047, Validation acc: 0.984
[47] Train loss: 0.000, Train acc: 1.000
[47] Validation loss: 0.046, Validation acc: 0.985
[48] Train loss: 0.000, Train acc: 1.000
[48] Validation loss: 0.046, Validation acc: 0.985
