[1] Train loss: 1.579, Train acc: 0.291
[1] Validation loss: 1.425, Validation acc: 0.393
[2] Train loss: 0.836, Train acc: 0.701
[2] Validation loss: 1.380, Validation acc: 0.502
[3] Train loss: 0.431, Train acc: 0.855
[3] Validation loss: 1.319, Validation acc: 0.555
[4] Train loss: 0.227, Train acc: 0.929
[4] Validation loss: 1.310, Validation acc: 0.595
[5] Train loss: 0.101, Train acc: 0.973
[5] Validation loss: 1.277, Validation acc: 0.628
[6] Train loss: 0.046, Train acc: 0.993
[6] Validation loss: 1.283, Validation acc: 0.643
[7] Train loss: 0.024, Train acc: 0.998
[7] Validation loss: 1.263, Validation acc: 0.649
[8] Train loss: 0.015, Train acc: 0.999
[8] Validation loss: 1.261, Validation acc: 0.657
[9] Train loss: 0.014, Train acc: 1.000
[9] Validation loss: 1.256, Validation acc: 0.662
[10] Train loss: 0.007, Train acc: 1.000
[10] Validation loss: 1.247, Validation acc: 0.669
[11] Train loss: 0.006, Train acc: 1.000
[11] Validation loss: 1.248, Validation acc: 0.672
[12] Train loss: 0.005, Train acc: 1.000
[12] Validation loss: 1.251, Validation acc: 0.676
[13] Train loss: 0.004, Train acc: 1.000
[13] Validation loss: 1.239, Validation acc: 0.678
[14] Train loss: 0.003, Train acc: 1.000
[14] Validation loss: 1.236, Validation acc: 0.683
[15] Train loss: 0.003, Train acc: 1.000
[15] Validation loss: 1.231, Validation acc: 0.682
[16] Train loss: 0.004, Train acc: 1.000
[16] Validation loss: 1.251, Validation acc: 0.680
[17] Train loss: 0.003, Train acc: 1.000
[17] Validation loss: 1.235, Validation acc: 0.688
[18] Train loss: 0.003, Train acc: 1.000
[18] Validation loss: 1.242, Validation acc: 0.687
[19] Train loss: 0.002, Train acc: 1.000
[19] Validation loss: 1.232, Validation acc: 0.689
[20] Train loss: 0.002, Train acc: 1.000
[20] Validation loss: 1.235, Validation acc: 0.690
[21] Train loss: 0.001, Train acc: 1.000
[21] Validation loss: 1.225, Validation acc: 0.692
[22] Train loss: 0.002, Train acc: 1.000
[22] Validation loss: 1.236, Validation acc: 0.693
[23] Train loss: 0.002, Train acc: 1.000
[23] Validation loss: 1.231, Validation acc: 0.693
[24] Train loss: 0.002, Train acc: 1.000
[24] Validation loss: 1.227, Validation acc: 0.694
[25] Train loss: 0.001, Train acc: 1.000
[25] Validation loss: 1.222, Validation acc: 0.697
[26] Train loss: 0.002, Train acc: 1.000
[26] Validation loss: 1.220, Validation acc: 0.697
[27] Train loss: 0.002, Train acc: 1.000
