[1] Train loss: 1.509, Train acc: 0.342
[1] Validation loss: 1.432, Validation acc: 0.399
[2] Train loss: 0.785, Train acc: 0.703
[2] Validation loss: 1.147, Validation acc: 0.574
[3] Train loss: 0.373, Train acc: 0.878
[3] Validation loss: 1.042, Validation acc: 0.649
[4] Train loss: 0.206, Train acc: 0.932
[4] Validation loss: 1.266, Validation acc: 0.629
[5] Train loss: 0.190, Train acc: 0.936
[5] Validation loss: 1.054, Validation acc: 0.681
[6] Train loss: 0.134, Train acc: 0.957
[6] Validation loss: 0.808, Validation acc: 0.739
[7] Train loss: 0.057, Train acc: 0.985
[7] Validation loss: 0.723, Validation acc: 0.765
[8] Train loss: 0.024, Train acc: 0.996
[8] Validation loss: 0.695, Validation acc: 0.781
[9] Train loss: 0.015, Train acc: 0.998
[9] Validation loss: 0.662, Validation acc: 0.796
[10] Train loss: 0.009, Train acc: 1.000
[10] Validation loss: 0.636, Validation acc: 0.802
[11] Train loss: 0.007, Train acc: 1.000
[11] Validation loss: 0.632, Validation acc: 0.806
[12] Train loss: 0.006, Train acc: 1.000
[12] Validation loss: 0.637, Validation acc: 0.809
[13] Train loss: 0.005, Train acc: 1.000
[13] Validation loss: 0.639, Validation acc: 0.806
[14] Train loss: 0.013, Train acc: 0.999
[14] Validation loss: 0.995, Validation acc: 0.749
[15] Train loss: 0.086, Train acc: 0.978
[15] Validation loss: 1.002, Validation acc: 0.741
[16] Train loss: 0.089, Train acc: 0.972
[16] Validation loss: 0.878, Validation acc: 0.759
[17] Train loss: 0.037, Train acc: 0.990
[17] Validation loss: 0.820, Validation acc: 0.768
[18] Train loss: 0.018, Train acc: 0.996
[18] Validation loss: 0.866, Validation acc: 0.764
[19] Train loss: 0.056, Train acc: 0.993
[19] Validation loss: 1.536, Validation acc: 0.688
[20] Train loss: 0.156, Train acc: 0.947
[20] Validation loss: 0.888, Validation acc: 0.763
[21] Train loss: 0.038, Train acc: 0.990
[21] Validation loss: 0.826, Validation acc: 0.776
[22] Train loss: 0.017, Train acc: 0.997
[22] Validation loss: 0.790, Validation acc: 0.781
[23] Train loss: 0.015, Train acc: 0.998
[23] Validation loss: 0.832, Validation acc: 0.780
[24] Train loss: 0.016, Train acc: 0.997
[24] Validation loss: 0.765, Validation acc: 0.794
[25] Train loss: 0.012, Train acc: 0.999
[25] Validation loss: 0.758, Validation acc: 0.798
[26] Train loss: 0.011, Train acc: 0.998
[26] Validation loss: 0.745, Validation acc: 0.800
[27] Train loss: 0.006, Train acc: 1.000
[27] Validation loss: 0.717, Validation acc: 0.812
[28] Train loss: 0.019, Train acc: 0.998
[28] Validation loss: 0.846, Validation acc: 0.785
[29] Train loss: 0.029, Train acc: 0.991
[29] Validation loss: 0.750, Validation acc: 0.805
[30] Train loss: 0.008, Train acc: 0.999
[30] Validation loss: 0.708, Validation acc: 0.808
[31] Train loss: 0.007, Train acc: 1.000
[31] Validation loss: 0.719, Validation acc: 0.809
[32] Train loss: 0.015, Train acc: 0.999
[32] Validation loss: 0.991, Validation acc: 0.770
[33] Train loss: 0.057, Train acc: 0.983
[33] Validation loss: 0.774, Validation acc: 0.798
[34] Train loss: 0.020, Train acc: 0.993
[34] Validation loss: 0.727, Validation acc: 0.805
[35] Train loss: 0.009, Train acc: 0.998
[35] Validation loss: 0.744, Validation acc: 0.807
[36] Train loss: 0.007, Train acc: 1.000
[36] Validation loss: 0.701, Validation acc: 0.813
[37] Train loss: 0.010, Train acc: 0.999
[37] Validation loss: 0.765, Validation acc: 0.799
[38] Train loss: 0.023, Train acc: 0.994
[38] Validation loss: 0.723, Validation acc: 0.811
[39] Train loss: 0.012, Train acc: 0.997
[39] Validation loss: 0.738, Validation acc: 0.807
[40] Train loss: 0.006, Train acc: 0.999
[40] Validation loss: 0.677, Validation acc: 0.820
[41] Train loss: 0.006, Train acc: 0.999
[41] Validation loss: 0.686, Validation acc: 0.817
[42] Train loss: 0.027, Train acc: 0.999
[42] Validation loss: 1.140, Validation acc: 0.757
[43] Train loss: 0.076, Train acc: 0.979
[43] Validation loss: 0.806, Validation acc: 0.802
[44] Train loss: 0.025, Train acc: 0.994
[44] Validation loss: 0.763, Validation acc: 0.807
[45] Train loss: 0.014, Train acc: 0.998
[45] Validation loss: 0.867, Validation acc: 0.795
[46] Train loss: 0.024, Train acc: 0.992
[46] Validation loss: 0.727, Validation acc: 0.817
[47] Train loss: 0.017, Train acc: 0.997
[47] Validation loss: 0.902, Validation acc: 0.795
[48] Train loss: 0.041, Train acc: 0.985
[48] Validation loss: 0.730, Validation acc: 0.815
[49] Train loss: 0.013, Train acc: 0.999
[49] Validation loss: 0.698, Validation acc: 0.824
[50] Train loss: 0.011, Train acc: 0.998
[50] Validation loss: 0.707, Validation acc: 0.824
[51] Train loss: 0.006, Train acc: 0.999
[51] Validation loss: 0.673, Validation acc: 0.830
[52] Train loss: 0.006, Train acc: 1.000
[52] Validation loss: 0.681, Validation acc: 0.825
