[1] Train loss: 1.333, Train acc: 0.436
[1] Validation loss: 0.901, Validation acc: 0.650
[2] Train loss: 0.460, Train acc: 0.828
[2] Validation loss: 0.373, Validation acc: 0.865
[3] Train loss: 0.154, Train acc: 0.948
[3] Validation loss: 0.185, Validation acc: 0.932
[4] Train loss: 0.087, Train acc: 0.973
[4] Validation loss: 0.120, Validation acc: 0.956
[5] Train loss: 0.055, Train acc: 0.983
[5] Validation loss: 0.100, Validation acc: 0.963
[6] Train loss: 0.030, Train acc: 0.992
[6] Validation loss: 0.069, Validation acc: 0.976
[7] Train loss: 0.022, Train acc: 0.994
[7] Validation loss: 0.069, Validation acc: 0.975
[8] Train loss: 0.019, Train acc: 0.996
[8] Validation loss: 0.190, Validation acc: 0.937
[9] Train loss: 0.083, Train acc: 0.970
[9] Validation loss: 0.134, Validation acc: 0.954
[10] Train loss: 0.067, Train acc: 0.974
[10] Validation loss: 0.116, Validation acc: 0.958
[11] Train loss: 0.059, Train acc: 0.982
[11] Validation loss: 0.204, Validation acc: 0.934
[12] Train loss: 0.070, Train acc: 0.977
[12] Validation loss: 0.103, Validation acc: 0.963
[13] Train loss: 0.027, Train acc: 0.991
[13] Validation loss: 0.078, Validation acc: 0.972
[14] Train loss: 0.012, Train acc: 0.997
[14] Validation loss: 0.067, Validation acc: 0.976
[15] Train loss: 0.008, Train acc: 0.998
[15] Validation loss: 0.063, Validation acc: 0.980
[16] Train loss: 0.004, Train acc: 0.999
[16] Validation loss: 0.058, Validation acc: 0.981
[17] Train loss: 0.004, Train acc: 1.000
[17] Validation loss: 0.051, Validation acc: 0.982
[18] Train loss: 0.004, Train acc: 0.999
[18] Validation loss: 0.049, Validation acc: 0.983
[19] Train loss: 0.002, Train acc: 1.000
[19] Validation loss: 0.043, Validation acc: 0.984
[20] Train loss: 0.002, Train acc: 1.000
[20] Validation loss: 0.041, Validation acc: 0.986
[21] Train loss: 0.002, Train acc: 1.000
[21] Validation loss: 0.039, Validation acc: 0.986
[22] Train loss: 0.001, Train acc: 1.000
[22] Validation loss: 0.038, Validation acc: 0.987
[23] Train loss: 0.001, Train acc: 1.000
[23] Validation loss: 0.034, Validation acc: 0.987
[24] Train loss: 0.001, Train acc: 1.000
[24] Validation loss: 0.034, Validation acc: 0.987
[25] Train loss: 0.003, Train acc: 1.000
[25] Validation loss: 0.046, Validation acc: 0.985
[26] Train loss: 0.007, Train acc: 0.999
[26] Validation loss: 0.039, Validation acc: 0.986
[27] Train loss: 0.004, Train acc: 0.999
[27] Validation loss: 0.044, Validation acc: 0.985
[28] Train loss: 0.002, Train acc: 1.000
[28] Validation loss: 0.038, Validation acc: 0.986
[29] Train loss: 0.001, Train acc: 1.000
[29] Validation loss: 0.036, Validation acc: 0.987
[30] Train loss: 0.001, Train acc: 1.000
[30] Validation loss: 0.034, Validation acc: 0.987
[31] Train loss: 0.002, Train acc: 1.000
[31] Validation loss: 0.035, Validation acc: 0.987
[32] Train loss: 0.001, Train acc: 1.000
[32] Validation loss: 0.034, Validation acc: 0.987
[33] Train loss: 0.001, Train acc: 1.000
[33] Validation loss: 0.031, Validation acc: 0.988
[34] Train loss: 0.001, Train acc: 1.000
[34] Validation loss: 0.029, Validation acc: 0.988
[35] Train loss: 0.014, Train acc: 0.999
[35] Validation loss: 0.206, Validation acc: 0.948
[36] Train loss: 0.075, Train acc: 0.980
[36] Validation loss: 0.122, Validation acc: 0.960
[37] Train loss: 0.026, Train acc: 0.990
[37] Validation loss: 0.099, Validation acc: 0.970
[38] Train loss: 0.016, Train acc: 0.995
[38] Validation loss: 0.080, Validation acc: 0.973
[39] Train loss: 0.009, Train acc: 0.998
[39] Validation loss: 0.073, Validation acc: 0.978
[40] Train loss: 0.007, Train acc: 0.998
[40] Validation loss: 0.067, Validation acc: 0.980
[41] Train loss: 0.003, Train acc: 1.000
[41] Validation loss: 0.061, Validation acc: 0.981
[42] Train loss: 0.003, Train acc: 1.000
[42] Validation loss: 0.059, Validation acc: 0.981
[43] Train loss: 0.001, Train acc: 1.000
[43] Validation loss: 0.051, Validation acc: 0.984
[44] Train loss: 0.005, Train acc: 1.000
[44] Validation loss: 0.082, Validation acc: 0.976
[45] Train loss: 0.017, Train acc: 0.996
[45] Validation loss: 0.113, Validation acc: 0.968
[46] Train loss: 0.030, Train acc: 0.991
[46] Validation loss: 0.078, Validation acc: 0.974
[47] Train loss: 0.012, Train acc: 0.997
[47] Validation loss: 0.067, Validation acc: 0.977
[48] Train loss: 0.005, Train acc: 0.999
[48] Validation loss: 0.062, Validation acc: 0.979
[49] Train loss: 0.005, Train acc: 0.999
[49] Validation loss: 0.051, Validation acc: 0.984
[50] Train loss: 0.003, Train acc: 1.000
[50] Validation loss: 0.046, Validation acc: 0.985
[51] Train loss: 0.002, Train acc: 1.000
[51] Validation loss: 0.041, Validation acc: 0.985
[52] Train loss: 0.003, Train acc: 0.999
[52] Validation loss: 0.042, Validation acc: 0.986
[53] Train loss: 0.001, Train acc: 1.000
[53] Validation loss: 0.039, Validation acc: 0.987
[54] Train loss: 0.001, Train acc: 1.000
[54] Validation loss: 0.040, Validation acc: 0.985
At epoch 53, lr changed to 0.010000000000000002
[55] Train loss: 0.002, Train acc: 1.000
[55] Validation loss: 0.036, Validation acc: 0.988
[56] Train loss: 0.001, Train acc: 1.000
[56] Validation loss: 0.040, Validation acc: 0.985
[57] Train loss: 0.002, Train acc: 1.000
[57] Validation loss: 0.043, Validation acc: 0.985
[58] Train loss: 0.001, Train acc: 1.000
[58] Validation loss: 0.039, Validation acc: 0.986
[59] Train loss: 0.001, Train acc: 1.000
[59] Validation loss: 0.040, Validation acc: 0.986
[60] Train loss: 0.001, Train acc: 1.000
[60] Validation loss: 0.036, Validation acc: 0.988
[61] Train loss: 0.001, Train acc: 1.000
[61] Validation loss: 0.036, Validation acc: 0.987
[62] Train loss: 0.001, Train acc: 1.000
[62] Validation loss: 0.036, Validation acc: 0.986
[63] Train loss: 0.001, Train acc: 1.000
[63] Validation loss: 0.038, Validation acc: 0.985
[64] Train loss: 0.001, Train acc: 1.000
[64] Validation loss: 0.039, Validation acc: 0.985
[65] Train loss: 0.001, Train acc: 1.000
[65] Validation loss: 0.042, Validation acc: 0.985
[66] Train loss: 0.001, Train acc: 1.000
[66] Validation loss: 0.038, Validation acc: 0.987
[67] Train loss: 0.001, Train acc: 1.000
[67] Validation loss: 0.035, Validation acc: 0.987
[68] Train loss: 0.001, Train acc: 1.000
[68] Validation loss: 0.034, Validation acc: 0.987
[69] Train loss: 0.001, Train acc: 1.000
[69] Validation loss: 0.036, Validation acc: 0.986
[70] Train loss: 0.001, Train acc: 1.000
[70] Validation loss: 0.037, Validation acc: 0.987
[71] Train loss: 0.001, Train acc: 1.000
[71] Validation loss: 0.037, Validation acc: 0.986
[72] Train loss: 0.001, Train acc: 1.000
[72] Validation loss: 0.040, Validation acc: 0.987
[73] Train loss: 0.001, Train acc: 1.000
[73] Validation loss: 0.035, Validation acc: 0.989
[74] Train loss: 0.001, Train acc: 1.000
[74] Validation loss: 0.038, Validation acc: 0.987
[75] Train loss: 0.001, Train acc: 1.000
[75] Validation loss: 0.036, Validation acc: 0.987
[76] Train loss: 0.001, Train acc: 1.000
[76] Validation loss: 0.036, Validation acc: 0.987
[77] Train loss: 0.001, Train acc: 1.000
[77] Validation loss: 0.034, Validation acc: 0.988
[78] Train loss: 0.001, Train acc: 1.000
[78] Validation loss: 0.035, Validation acc: 0.987
[79] Train loss: 0.001, Train acc: 1.000
[79] Validation loss: 0.034, Validation acc: 0.989
[80] Train loss: 0.001, Train acc: 1.000
[80] Validation loss: 0.041, Validation acc: 0.985
[81] Train loss: 0.001, Train acc: 1.000
[81] Validation loss: 0.036, Validation acc: 0.988
[82] Train loss: 0.001, Train acc: 1.000
[82] Validation loss: 0.036, Validation acc: 0.987
[83] Train loss: 0.001, Train acc: 1.000
[83] Validation loss: 0.034, Validation acc: 0.988
[84] Train loss: 0.001, Train acc: 1.000
[84] Validation loss: 0.035, Validation acc: 0.988
[85] Train loss: 0.001, Train acc: 1.000
[85] Validation loss: 0.038, Validation acc: 0.986
[86] Train loss: 0.001, Train acc: 1.000
[86] Validation loss: 0.033, Validation acc: 0.987
[87] Train loss: 0.001, Train acc: 1.000
[87] Validation loss: 0.034, Validation acc: 0.987
[88] Train loss: 0.000, Train acc: 1.000
[88] Validation loss: 0.034, Validation acc: 0.987
[89] Train loss: 0.001, Train acc: 1.000
[89] Validation loss: 0.037, Validation acc: 0.986
[90] Train loss: 0.001, Train acc: 1.000
[90] Validation loss: 0.037, Validation acc: 0.988
[91] Train loss: 0.001, Train acc: 1.000
[91] Validation loss: 0.035, Validation acc: 0.988
[92] Train loss: 0.000, Train acc: 1.000
[92] Validation loss: 0.032, Validation acc: 0.988
[93] Train loss: 0.000, Train acc: 1.000
[93] Validation loss: 0.032, Validation acc: 0.988
At epoch 92, lr changed to 0.0010000000000000002
[94] Train loss: 0.001, Train acc: 1.000
[94] Validation loss: 0.032, Validation acc: 0.988
[95] Train loss: 0.001, Train acc: 1.000
[95] Validation loss: 0.035, Validation acc: 0.987
[96] Train loss: 0.000, Train acc: 1.000
[96] Validation loss: 0.031, Validation acc: 0.989
[97] Train loss: 0.000, Train acc: 1.000
[97] Validation loss: 0.036, Validation acc: 0.987
[98] Train loss: 0.000, Train acc: 1.000
[98] Validation loss: 0.031, Validation acc: 0.989
[99] Train loss: 0.001, Train acc: 1.000
[99] Validation loss: 0.036, Validation acc: 0.988
[100] Train loss: 0.001, Train acc: 1.000
[100] Validation loss: 0.034, Validation acc: 0.988
[101] Train loss: 0.000, Train acc: 1.000
[101] Validation loss: 0.031, Validation acc: 0.989
[102] Train loss: 0.001, Train acc: 1.000
[102] Validation loss: 0.034, Validation acc: 0.987
[103] Train loss: 0.001, Train acc: 1.000
[103] Validation loss: 0.031, Validation acc: 0.988
[104] Train loss: 0.001, Train acc: 1.000
[104] Validation loss: 0.032, Validation acc: 0.988
[105] Train loss: 0.001, Train acc: 1.000
[105] Validation loss: 0.032, Validation acc: 0.988
[106] Train loss: 0.001, Train acc: 1.000
[106] Validation loss: 0.032, Validation acc: 0.988
[107] Train loss: 0.000, Train acc: 1.000
[107] Validation loss: 0.031, Validation acc: 0.988
[108] Train loss: 0.001, Train acc: 1.000
[108] Validation loss: 0.034, Validation acc: 0.987
[109] Train loss: 0.001, Train acc: 1.000
[109] Validation loss: 0.032, Validation acc: 0.988
[110] Train loss: 0.001, Train acc: 1.000
[110] Validation loss: 0.034, Validation acc: 0.988
[111] Train loss: 0.000, Train acc: 1.000
[111] Validation loss: 0.032, Validation acc: 0.987
[112] Train loss: 0.000, Train acc: 1.000
[112] Validation loss: 0.033, Validation acc: 0.989
[113] Train loss: 0.000, Train acc: 1.000
[113] Validation loss: 0.032, Validation acc: 0.989
Best_val_acc is 0.989
