[1] Train loss: 1.647, Train acc: 0.253
[1] Validation loss: 1.579, Validation acc: 0.307
[2] Train loss: 0.690, Train acc: 0.779
[2] Validation loss: 1.823, Validation acc: 0.362
[3] Train loss: 0.226, Train acc: 0.956
[3] Validation loss: 2.068, Validation acc: 0.378
[4] Train loss: 0.037, Train acc: 1.000
[4] Validation loss: 2.200, Validation acc: 0.380
[5] Train loss: 0.017, Train acc: 1.000
[5] Validation loss: 2.275, Validation acc: 0.382
[6] Train loss: 0.012, Train acc: 1.000
[6] Validation loss: 2.344, Validation acc: 0.384
[7] Train loss: 0.009, Train acc: 1.000
[7] Validation loss: 2.396, Validation acc: 0.384
[8] Train loss: 0.007, Train acc: 1.000
[8] Validation loss: 2.446, Validation acc: 0.386
[9] Train loss: 0.006, Train acc: 1.000
[9] Validation loss: 2.488, Validation acc: 0.386
[10] Train loss: 0.005, Train acc: 1.000
[10] Validation loss: 2.517, Validation acc: 0.387
[11] Train loss: 0.005, Train acc: 1.000
[11] Validation loss: 2.547, Validation acc: 0.387
[12] Train loss: 0.004, Train acc: 1.000
[12] Validation loss: 2.575, Validation acc: 0.387
[13] Train loss: 0.004, Train acc: 1.000
[13] Validation loss: 2.611, Validation acc: 0.387
[14] Train loss: 0.003, Train acc: 1.000
[14] Validation loss: 2.627, Validation acc: 0.387
[15] Train loss: 0.003, Train acc: 1.000
[15] Validation loss: 2.649, Validation acc: 0.387
[16] Train loss: 0.003, Train acc: 1.000
[16] Validation loss: 2.667, Validation acc: 0.387
[17] Train loss: 0.003, Train acc: 1.000
[17] Validation loss: 2.696, Validation acc: 0.388
[18] Train loss: 0.002, Train acc: 1.000
[18] Validation loss: 2.702, Validation acc: 0.388
[19] Train loss: 0.002, Train acc: 1.000
[19] Validation loss: 2.721, Validation acc: 0.388
[20] Train loss: 0.002, Train acc: 1.000
[20] Validation loss: 2.731, Validation acc: 0.388
[21] Train loss: 0.002, Train acc: 1.000
[21] Validation loss: 2.748, Validation acc: 0.388
[22] Train loss: 0.002, Train acc: 1.000
[22] Validation loss: 2.773, Validation acc: 0.388
[23] Train loss: 0.002, Train acc: 1.000
[23] Validation loss: 2.781, Validation acc: 0.389
[24] Train loss: 0.002, Train acc: 1.000
[24] Validation loss: 2.793, Validation acc: 0.389
[25] Train loss: 0.002, Train acc: 1.000
[25] Validation loss: 2.805, Validation acc: 0.388
[26] Train loss: 0.002, Train acc: 1.000
[26] Validation loss: 2.827, Validation acc: 0.389
[27] Train loss: 0.002, Train acc: 1.000
[27] Validation loss: 2.841, Validation acc: 0.389
[28] Train loss: 0.001, Train acc: 1.000
[28] Validation loss: 2.840, Validation acc: 0.389
[29] Train loss: 0.001, Train acc: 1.000
[29] Validation loss: 2.867, Validation acc: 0.390
[30] Train loss: 0.001, Train acc: 1.000
[30] Validation loss: 2.872, Validation acc: 0.390
[31] Train loss: 0.001, Train acc: 1.000
[31] Validation loss: 2.882, Validation acc: 0.390
[32] Train loss: 0.001, Train acc: 1.000
[32] Validation loss: 2.877, Validation acc: 0.390
[33] Train loss: 0.001, Train acc: 1.000
[33] Validation loss: 2.904, Validation acc: 0.390
[34] Train loss: 0.001, Train acc: 1.000
[34] Validation loss: 2.899, Validation acc: 0.390
[35] Train loss: 0.001, Train acc: 1.000
[35] Validation loss: 2.909, Validation acc: 0.390
[36] Train loss: 0.001, Train acc: 1.000
[36] Validation loss: 2.938, Validation acc: 0.389
[37] Train loss: 0.001, Train acc: 1.000
[37] Validation loss: 2.935, Validation acc: 0.389
[38] Train loss: 0.001, Train acc: 1.000
[38] Validation loss: 2.945, Validation acc: 0.390
[39] Train loss: 0.001, Train acc: 1.000
[39] Validation loss: 2.955, Validation acc: 0.389
[40] Train loss: 0.001, Train acc: 1.000
[40] Validation loss: 2.961, Validation acc: 0.389
[41] Train loss: 0.001, Train acc: 1.000
[41] Validation loss: 2.969, Validation acc: 0.389
[42] Train loss: 0.001, Train acc: 1.000
[42] Validation loss: 2.962, Validation acc: 0.389
[43] Train loss: 0.001, Train acc: 1.000
[43] Validation loss: 2.970, Validation acc: 0.390
[44] Train loss: 0.001, Train acc: 1.000
[44] Validation loss: 2.987, Validation acc: 0.390
[45] Train loss: 0.001, Train acc: 1.000
[45] Validation loss: 2.987, Validation acc: 0.390
[46] Train loss: 0.001, Train acc: 1.000
[46] Validation loss: 3.000, Validation acc: 0.389
[47] Train loss: 0.001, Train acc: 1.000
[47] Validation loss: 3.007, Validation acc: 0.389
[48] Train loss: 0.001, Train acc: 1.000
[48] Validation loss: 3.004, Validation acc: 0.390
[49] Train loss: 0.001, Train acc: 1.000
[49] Validation loss: 3.012, Validation acc: 0.390
[50] Train loss: 0.001, Train acc: 1.000
