[1] Train loss: 1.625, Train acc: 0.226
[1] Validation loss: 1.598, Validation acc: 0.259
[2] Train loss: 0.954, Train acc: 0.794
[2] Validation loss: 1.670, Validation acc: 0.279
[3] Train loss: 0.395, Train acc: 0.960
[3] Validation loss: 1.839, Validation acc: 0.287
[4] Train loss: 0.130, Train acc: 1.000
[4] Validation loss: 1.983, Validation acc: 0.289
[5] Train loss: 0.062, Train acc: 1.000
[5] Validation loss: 2.070, Validation acc: 0.291
[6] Train loss: 0.039, Train acc: 1.000
[6] Validation loss: 2.151, Validation acc: 0.292
[7] Train loss: 0.028, Train acc: 1.000
[7] Validation loss: 2.204, Validation acc: 0.293
[8] Train loss: 0.022, Train acc: 1.000
[8] Validation loss: 2.257, Validation acc: 0.293
[9] Train loss: 0.018, Train acc: 1.000
[9] Validation loss: 2.294, Validation acc: 0.294
[10] Train loss: 0.015, Train acc: 1.000
[10] Validation loss: 2.340, Validation acc: 0.294
[11] Train loss: 0.013, Train acc: 1.000
[11] Validation loss: 2.369, Validation acc: 0.295
[12] Train loss: 0.011, Train acc: 1.000
[12] Validation loss: 2.410, Validation acc: 0.295
[13] Train loss: 0.010, Train acc: 1.000
[13] Validation loss: 2.428, Validation acc: 0.295
[14] Train loss: 0.009, Train acc: 1.000
[14] Validation loss: 2.457, Validation acc: 0.295
[15] Train loss: 0.008, Train acc: 1.000
[15] Validation loss: 2.475, Validation acc: 0.295
[16] Train loss: 0.007, Train acc: 1.000
[16] Validation loss: 2.501, Validation acc: 0.295
[17] Train loss: 0.007, Train acc: 1.000
[17] Validation loss: 2.521, Validation acc: 0.295
[18] Train loss: 0.006, Train acc: 1.000
[18] Validation loss: 2.541, Validation acc: 0.296
[19] Train loss: 0.006, Train acc: 1.000
[19] Validation loss: 2.557, Validation acc: 0.296
[20] Train loss: 0.005, Train acc: 1.000
[20] Validation loss: 2.579, Validation acc: 0.296
[21] Train loss: 0.005, Train acc: 1.000
[21] Validation loss: 2.587, Validation acc: 0.296
[22] Train loss: 0.005, Train acc: 1.000
[22] Validation loss: 2.608, Validation acc: 0.296
[23] Train loss: 0.004, Train acc: 1.000
[23] Validation loss: 2.624, Validation acc: 0.296
[24] Train loss: 0.004, Train acc: 1.000
[24] Validation loss: 2.634, Validation acc: 0.297
[25] Train loss: 0.004, Train acc: 1.000
[25] Validation loss: 2.653, Validation acc: 0.297
[26] Train loss: 0.004, Train acc: 1.000
[26] Validation loss: 2.662, Validation acc: 0.297
[27] Train loss: 0.004, Train acc: 1.000
[27] Validation loss: 2.679, Validation acc: 0.298
[28] Train loss: 0.003, Train acc: 1.000
[28] Validation loss: 2.694, Validation acc: 0.298
[29] Train loss: 0.003, Train acc: 1.000
[29] Validation loss: 2.705, Validation acc: 0.298
[30] Train loss: 0.003, Train acc: 1.000
[30] Validation loss: 2.712, Validation acc: 0.298
[31] Train loss: 0.003, Train acc: 1.000
[31] Validation loss: 2.725, Validation acc: 0.298
[32] Train loss: 0.003, Train acc: 1.000
[32] Validation loss: 2.737, Validation acc: 0.298
[33] Train loss: 0.003, Train acc: 1.000
[33] Validation loss: 2.740, Validation acc: 0.298
[34] Train loss: 0.003, Train acc: 1.000
[34] Validation loss: 2.755, Validation acc: 0.298
[35] Train loss: 0.003, Train acc: 1.000
[35] Validation loss: 2.761, Validation acc: 0.299
[36] Train loss: 0.003, Train acc: 1.000
[36] Validation loss: 2.766, Validation acc: 0.299
[37] Train loss: 0.002, Train acc: 1.000
[37] Validation loss: 2.783, Validation acc: 0.299
[38] Train loss: 0.002, Train acc: 1.000
[38] Validation loss: 2.793, Validation acc: 0.299
[39] Train loss: 0.002, Train acc: 1.000
[39] Validation loss: 2.798, Validation acc: 0.299
[40] Train loss: 0.002, Train acc: 1.000
[40] Validation loss: 2.807, Validation acc: 0.299
[41] Train loss: 0.002, Train acc: 1.000
[41] Validation loss: 2.817, Validation acc: 0.299
[42] Train loss: 0.002, Train acc: 1.000
[42] Validation loss: 2.828, Validation acc: 0.300
[43] Train loss: 0.002, Train acc: 1.000
[43] Validation loss: 2.828, Validation acc: 0.300
[44] Train loss: 0.002, Train acc: 1.000
[44] Validation loss: 2.838, Validation acc: 0.299
[45] Train loss: 0.002, Train acc: 1.000
[45] Validation loss: 2.846, Validation acc: 0.300
[46] Train loss: 0.002, Train acc: 1.000
[46] Validation loss: 2.863, Validation acc: 0.300
[47] Train loss: 0.002, Train acc: 1.000
[47] Validation loss: 2.856, Validation acc: 0.299
[48] Train loss: 0.002, Train acc: 1.000
[48] Validation loss: 2.860, Validation acc: 0.299
[49] Train loss: 0.002, Train acc: 1.000
[49] Validation loss: 2.875, Validation acc: 0.299
[50] Train loss: 0.002, Train acc: 1.000
[50] Validation loss: 2.882, Validation acc: 0.299
[51] Train loss: 0.002, Train acc: 1.000
[51] Validation loss: 2.887, Validation acc: 0.299
[52] Train loss: 0.002, Train acc: 1.000
