[1] Train loss: 1.589, Train acc: 0.297
[1] Validation loss: 1.482, Validation acc: 0.361
[2] Train loss: 0.797, Train acc: 0.729
[2] Validation loss: 1.557, Validation acc: 0.438
[3] Train loss: 0.369, Train acc: 0.877
[3] Validation loss: 1.704, Validation acc: 0.468
[4] Train loss: 0.172, Train acc: 0.953
[4] Validation loss: 1.823, Validation acc: 0.491
[5] Train loss: 0.066, Train acc: 0.990
[5] Validation loss: 1.853, Validation acc: 0.502
[6] Train loss: 0.032, Train acc: 0.997
[6] Validation loss: 1.907, Validation acc: 0.515
[7] Train loss: 0.019, Train acc: 0.999
[7] Validation loss: 1.950, Validation acc: 0.516
[8] Train loss: 0.013, Train acc: 1.000
[8] Validation loss: 1.964, Validation acc: 0.522
[9] Train loss: 0.010, Train acc: 0.999
[9] Validation loss: 2.008, Validation acc: 0.522
[10] Train loss: 0.009, Train acc: 1.000
[10] Validation loss: 2.020, Validation acc: 0.525
[11] Train loss: 0.008, Train acc: 1.000
[11] Validation loss: 2.030, Validation acc: 0.530
[12] Train loss: 0.006, Train acc: 1.000
[12] Validation loss: 2.063, Validation acc: 0.534
[13] Train loss: 0.006, Train acc: 1.000
[13] Validation loss: 2.062, Validation acc: 0.534
[14] Train loss: 0.004, Train acc: 1.000
[14] Validation loss: 2.084, Validation acc: 0.536
[15] Train loss: 0.004, Train acc: 1.000
[15] Validation loss: 2.087, Validation acc: 0.536
[16] Train loss: 0.004, Train acc: 1.000
[16] Validation loss: 2.095, Validation acc: 0.536
[17] Train loss: 0.004, Train acc: 1.000
[17] Validation loss: 2.110, Validation acc: 0.537
[18] Train loss: 0.003, Train acc: 1.000
[18] Validation loss: 2.119, Validation acc: 0.540
[19] Train loss: 0.003, Train acc: 1.000
[19] Validation loss: 2.106, Validation acc: 0.543
[20] Train loss: 0.002, Train acc: 1.000
[20] Validation loss: 2.129, Validation acc: 0.542
[21] Train loss: 0.003, Train acc: 1.000
[21] Validation loss: 2.134, Validation acc: 0.542
[22] Train loss: 0.002, Train acc: 1.000
[22] Validation loss: 2.153, Validation acc: 0.542
[23] Train loss: 0.003, Train acc: 1.000
[23] Validation loss: 2.152, Validation acc: 0.545
[24] Train loss: 0.002, Train acc: 1.000
[24] Validation loss: 2.144, Validation acc: 0.543
[25] Train loss: 0.003, Train acc: 1.000
[25] Validation loss: 2.159, Validation acc: 0.544
[26] Train loss: 0.002, Train acc: 1.000
[26] Validation loss: 2.160, Validation acc: 0.546
[27] Train loss: 0.002, Train acc: 1.000
[27] Validation loss: 2.169, Validation acc: 0.549
[28] Train loss: 0.002, Train acc: 1.000
[28] Validation loss: 2.189, Validation acc: 0.551
[29] Train loss: 0.002, Train acc: 1.000
[29] Validation loss: 2.167, Validation acc: 0.550
[30] Train loss: 0.002, Train acc: 1.000
[30] Validation loss: 2.185, Validation acc: 0.552
[31] Train loss: 0.002, Train acc: 1.000
[31] Validation loss: 2.177, Validation acc: 0.550
[32] Train loss: 0.001, Train acc: 1.000
[32] Validation loss: 2.185, Validation acc: 0.548
[33] Train loss: 0.002, Train acc: 1.000
[33] Validation loss: 2.206, Validation acc: 0.547
[34] Train loss: 0.001, Train acc: 1.000
[34] Validation loss: 2.190, Validation acc: 0.549
[35] Train loss: 0.001, Train acc: 1.000
[35] Validation loss: 2.204, Validation acc: 0.549
[36] Train loss: 0.002, Train acc: 1.000
[36] Validation loss: 2.196, Validation acc: 0.548
[37] Train loss: 0.001, Train acc: 1.000
[37] Validation loss: 2.203, Validation acc: 0.551
[38] Train loss: 0.001, Train acc: 1.000
[38] Validation loss: 2.212, Validation acc: 0.551
[39] Train loss: 0.001, Train acc: 1.000
[39] Validation loss: 2.215, Validation acc: 0.551
[40] Train loss: 0.001, Train acc: 1.000
[40] Validation loss: 2.219, Validation acc: 0.551
[41] Train loss: 0.001, Train acc: 1.000
[41] Validation loss: 2.199, Validation acc: 0.551
[42] Train loss: 0.001, Train acc: 1.000
[42] Validation loss: 2.201, Validation acc: 0.552
[43] Train loss: 0.001, Train acc: 1.000
[43] Validation loss: 2.217, Validation acc: 0.550
[44] Train loss: 0.001, Train acc: 1.000
[44] Validation loss: 2.222, Validation acc: 0.552
[45] Train loss: 0.001, Train acc: 1.000
[45] Validation loss: 2.212, Validation acc: 0.551
[46] Train loss: 0.001, Train acc: 1.000
[46] Validation loss: 2.233, Validation acc: 0.554
[47] Train loss: 0.001, Train acc: 1.000
[47] Validation loss: 2.229, Validation acc: 0.553
[48] Train loss: 0.001, Train acc: 1.000
[48] Validation loss: 2.232, Validation acc: 0.551
[49] Train loss: 0.001, Train acc: 1.000
[49] Validation loss: 2.244, Validation acc: 0.552
[50] Train loss: 0.001, Train acc: 1.000
[50] Validation loss: 2.237, Validation acc: 0.555
[51] Train loss: 0.001, Train acc: 1.000
[51] Validation loss: 2.233, Validation acc: 0.553
[52] Train loss: 0.001, Train acc: 1.000
[52] Validation loss: 2.236, Validation acc: 0.554
[53] Train loss: 0.001, Train acc: 1.000
[53] Validation loss: 2.234, Validation acc: 0.556
[54] Train loss: 0.001, Train acc: 1.000
[54] Validation loss: 2.244, Validation acc: 0.555
[55] Train loss: 0.001, Train acc: 1.000
