[1] Train loss: 1.563, Train acc: 0.280
[1] Validation loss: 1.482, Validation acc: 0.356
[2] Train loss: 0.893, Train acc: 0.713
[2] Validation loss: 1.466, Validation acc: 0.426
[3] Train loss: 0.410, Train acc: 0.875
[3] Validation loss: 1.565, Validation acc: 0.461
[4] Train loss: 0.148, Train acc: 0.978
[4] Validation loss: 1.673, Validation acc: 0.477
[5] Train loss: 0.049, Train acc: 1.000
[5] Validation loss: 1.750, Validation acc: 0.485
[6] Train loss: 0.023, Train acc: 1.000
[6] Validation loss: 1.807, Validation acc: 0.487
[7] Train loss: 0.016, Train acc: 1.000
[7] Validation loss: 1.847, Validation acc: 0.489
[8] Train loss: 0.013, Train acc: 1.000
[8] Validation loss: 1.886, Validation acc: 0.489
[9] Train loss: 0.010, Train acc: 1.000
[9] Validation loss: 1.923, Validation acc: 0.490
[10] Train loss: 0.009, Train acc: 1.000
[10] Validation loss: 1.954, Validation acc: 0.491
[11] Train loss: 0.008, Train acc: 1.000
[11] Validation loss: 1.974, Validation acc: 0.491
[12] Train loss: 0.007, Train acc: 1.000
[12] Validation loss: 1.995, Validation acc: 0.491
[13] Train loss: 0.006, Train acc: 1.000
[13] Validation loss: 2.013, Validation acc: 0.492
[14] Train loss: 0.005, Train acc: 1.000
[14] Validation loss: 2.033, Validation acc: 0.493
[15] Train loss: 0.005, Train acc: 1.000
[15] Validation loss: 2.055, Validation acc: 0.493
[16] Train loss: 0.005, Train acc: 1.000
[16] Validation loss: 2.069, Validation acc: 0.494
[17] Train loss: 0.004, Train acc: 1.000
[17] Validation loss: 2.090, Validation acc: 0.495
[18] Train loss: 0.004, Train acc: 1.000
[18] Validation loss: 2.092, Validation acc: 0.495
[19] Train loss: 0.004, Train acc: 1.000
[19] Validation loss: 2.110, Validation acc: 0.495
[20] Train loss: 0.003, Train acc: 1.000
[20] Validation loss: 2.128, Validation acc: 0.495
[21] Train loss: 0.003, Train acc: 1.000
[21] Validation loss: 2.138, Validation acc: 0.496
