[1] Train loss: 1.568, Train acc: 0.302
[1] Validation loss: 1.453, Validation acc: 0.384
[2] Train loss: 0.767, Train acc: 0.720
[2] Validation loss: 1.439, Validation acc: 0.488
[3] Train loss: 0.373, Train acc: 0.868
[3] Validation loss: 1.378, Validation acc: 0.562
[4] Train loss: 0.110, Train acc: 0.980
[4] Validation loss: 1.344, Validation acc: 0.596
[5] Train loss: 0.021, Train acc: 0.999
[5] Validation loss: 1.352, Validation acc: 0.599
[6] Train loss: 0.008, Train acc: 1.000
[6] Validation loss: 1.353, Validation acc: 0.607
[7] Train loss: 0.006, Train acc: 1.000
[7] Validation loss: 1.364, Validation acc: 0.611
[8] Train loss: 0.005, Train acc: 1.000
[8] Validation loss: 1.373, Validation acc: 0.612
[9] Train loss: 0.004, Train acc: 1.000
[9] Validation loss: 1.377, Validation acc: 0.615
[10] Train loss: 0.003, Train acc: 1.000
[10] Validation loss: 1.391, Validation acc: 0.616
[11] Train loss: 0.003, Train acc: 1.000
[11] Validation loss: 1.399, Validation acc: 0.617
[12] Train loss: 0.003, Train acc: 1.000
[12] Validation loss: 1.397, Validation acc: 0.619
[13] Train loss: 0.002, Train acc: 1.000
[13] Validation loss: 1.398, Validation acc: 0.621
[14] Train loss: 0.002, Train acc: 1.000
[14] Validation loss: 1.405, Validation acc: 0.622
[15] Train loss: 0.002, Train acc: 1.000
[15] Validation loss: 1.412, Validation acc: 0.623
[16] Train loss: 0.002, Train acc: 1.000
[16] Validation loss: 1.410, Validation acc: 0.624
[17] Train loss: 0.002, Train acc: 1.000
[17] Validation loss: 1.420, Validation acc: 0.625
[18] Train loss: 0.001, Train acc: 1.000
[18] Validation loss: 1.423, Validation acc: 0.626
[19] Train loss: 0.001, Train acc: 1.000
[19] Validation loss: 1.427, Validation acc: 0.627
[20] Train loss: 0.001, Train acc: 1.000
[20] Validation loss: 1.428, Validation acc: 0.627
[21] Train loss: 0.001, Train acc: 1.000
[21] Validation loss: 1.430, Validation acc: 0.628
[22] Train loss: 0.001, Train acc: 1.000
[22] Validation loss: 1.435, Validation acc: 0.630
[23] Train loss: 0.001, Train acc: 1.000
[23] Validation loss: 1.436, Validation acc: 0.630
[24] Train loss: 0.001, Train acc: 1.000
[24] Validation loss: 1.437, Validation acc: 0.630
[25] Train loss: 0.001, Train acc: 1.000
[25] Validation loss: 1.446, Validation acc: 0.631
[26] Train loss: 0.001, Train acc: 1.000
[26] Validation loss: 1.443, Validation acc: 0.631
[27] Train loss: 0.001, Train acc: 1.000
[27] Validation loss: 1.450, Validation acc: 0.632
[28] Train loss: 0.001, Train acc: 1.000
[28] Validation loss: 1.443, Validation acc: 0.633
[29] Train loss: 0.001, Train acc: 1.000
[29] Validation loss: 1.450, Validation acc: 0.633
[30] Train loss: 0.001, Train acc: 1.000
[30] Validation loss: 1.450, Validation acc: 0.633
[31] Train loss: 0.001, Train acc: 1.000
[31] Validation loss: 1.452, Validation acc: 0.633
[32] Train loss: 0.001, Train acc: 1.000
[32] Validation loss: 1.459, Validation acc: 0.633
[33] Train loss: 0.001, Train acc: 1.000
[33] Validation loss: 1.454, Validation acc: 0.634
[34] Train loss: 0.001, Train acc: 1.000
[34] Validation loss: 1.458, Validation acc: 0.634
[35] Train loss: 0.001, Train acc: 1.000
[35] Validation loss: 1.457, Validation acc: 0.634
[36] Train loss: 0.001, Train acc: 1.000
[36] Validation loss: 1.471, Validation acc: 0.635
[37] Train loss: 0.001, Train acc: 1.000
[37] Validation loss: 1.460, Validation acc: 0.635
[38] Train loss: 0.001, Train acc: 1.000
[38] Validation loss: 1.464, Validation acc: 0.635
[39] Train loss: 0.001, Train acc: 1.000
[39] Validation loss: 1.461, Validation acc: 0.635
[40] Train loss: 0.001, Train acc: 1.000
[40] Validation loss: 1.460, Validation acc: 0.636
[41] Train loss: 0.001, Train acc: 1.000
[41] Validation loss: 1.479, Validation acc: 0.636
[42] Train loss: 0.001, Train acc: 1.000
[42] Validation loss: 1.469, Validation acc: 0.636
[43] Train loss: 0.001, Train acc: 1.000
[43] Validation loss: 1.472, Validation acc: 0.637
[44] Train loss: 0.001, Train acc: 1.000
[44] Validation loss: 1.473, Validation acc: 0.637
[45] Train loss: 0.001, Train acc: 1.000
[45] Validation loss: 1.474, Validation acc: 0.637
[46] Train loss: 0.000, Train acc: 1.000
