[1] Train loss: 1.455, Train acc: 0.361
[1] Validation loss: 1.190, Validation acc: 0.527
[2] Train loss: 0.672, Train acc: 0.762
[2] Validation loss: 0.748, Validation acc: 0.719
[3] Train loss: 0.244, Train acc: 0.927
[3] Validation loss: 0.466, Validation acc: 0.836
[4] Train loss: 0.073, Train acc: 0.988
[4] Validation loss: 0.350, Validation acc: 0.869
[5] Train loss: 0.020, Train acc: 1.000
[5] Validation loss: 0.313, Validation acc: 0.887
[6] Train loss: 0.009, Train acc: 1.000
[6] Validation loss: 0.300, Validation acc: 0.893
[7] Train loss: 0.007, Train acc: 1.000
[7] Validation loss: 0.290, Validation acc: 0.896
[8] Train loss: 0.005, Train acc: 1.000
[8] Validation loss: 0.285, Validation acc: 0.899
[9] Train loss: 0.004, Train acc: 1.000
[9] Validation loss: 0.279, Validation acc: 0.900
[10] Train loss: 0.004, Train acc: 1.000
[10] Validation loss: 0.277, Validation acc: 0.902
[11] Train loss: 0.003, Train acc: 1.000
[11] Validation loss: 0.271, Validation acc: 0.903
[12] Train loss: 0.003, Train acc: 1.000
[12] Validation loss: 0.268, Validation acc: 0.905
[13] Train loss: 0.003, Train acc: 1.000
[13] Validation loss: 0.267, Validation acc: 0.906
[14] Train loss: 0.002, Train acc: 1.000
[14] Validation loss: 0.265, Validation acc: 0.907
[15] Train loss: 0.002, Train acc: 1.000
[15] Validation loss: 0.261, Validation acc: 0.908
[16] Train loss: 0.002, Train acc: 1.000
[16] Validation loss: 0.262, Validation acc: 0.908
[17] Train loss: 0.002, Train acc: 1.000
[17] Validation loss: 0.259, Validation acc: 0.908
[18] Train loss: 0.002, Train acc: 1.000
[18] Validation loss: 0.256, Validation acc: 0.910
[19] Train loss: 0.002, Train acc: 1.000
[19] Validation loss: 0.254, Validation acc: 0.910
[20] Train loss: 0.002, Train acc: 1.000
[20] Validation loss: 0.254, Validation acc: 0.911
[21] Train loss: 0.001, Train acc: 1.000
[21] Validation loss: 0.252, Validation acc: 0.911
[22] Train loss: 0.001, Train acc: 1.000
[22] Validation loss: 0.250, Validation acc: 0.911
[23] Train loss: 0.001, Train acc: 1.000
[23] Validation loss: 0.249, Validation acc: 0.911
[24] Train loss: 0.001, Train acc: 1.000
[24] Validation loss: 0.248, Validation acc: 0.912
[25] Train loss: 0.001, Train acc: 1.000
[25] Validation loss: 0.247, Validation acc: 0.912
[26] Train loss: 0.001, Train acc: 1.000
[26] Validation loss: 0.247, Validation acc: 0.913
[27] Train loss: 0.001, Train acc: 1.000
[27] Validation loss: 0.246, Validation acc: 0.913
[28] Train loss: 0.001, Train acc: 1.000
[28] Validation loss: 0.246, Validation acc: 0.914
[29] Train loss: 0.001, Train acc: 1.000
[29] Validation loss: 0.243, Validation acc: 0.914
[30] Train loss: 0.001, Train acc: 1.000
[30] Validation loss: 0.242, Validation acc: 0.915
[31] Train loss: 0.001, Train acc: 1.000
[31] Validation loss: 0.241, Validation acc: 0.915
[32] Train loss: 0.001, Train acc: 1.000
[32] Validation loss: 0.240, Validation acc: 0.915
[33] Train loss: 0.001, Train acc: 1.000
[33] Validation loss: 0.240, Validation acc: 0.916
[34] Train loss: 0.001, Train acc: 1.000
[34] Validation loss: 0.241, Validation acc: 0.916
[35] Train loss: 0.001, Train acc: 1.000
[35] Validation loss: 0.238, Validation acc: 0.916
[36] Train loss: 0.001, Train acc: 1.000
[36] Validation loss: 0.240, Validation acc: 0.917
[37] Train loss: 0.001, Train acc: 1.000
[37] Validation loss: 0.237, Validation acc: 0.917
[38] Train loss: 0.001, Train acc: 1.000
[38] Validation loss: 0.238, Validation acc: 0.917
[39] Train loss: 0.001, Train acc: 1.000
[39] Validation loss: 0.236, Validation acc: 0.918
[40] Train loss: 0.001, Train acc: 1.000
[40] Validation loss: 0.235, Validation acc: 0.918
[41] Train loss: 0.001, Train acc: 1.000
[41] Validation loss: 0.235, Validation acc: 0.918
[42] Train loss: 0.001, Train acc: 1.000
[42] Validation loss: 0.236, Validation acc: 0.918
[43] Train loss: 0.001, Train acc: 1.000
[43] Validation loss: 0.237, Validation acc: 0.918
[44] Train loss: 0.001, Train acc: 1.000
[44] Validation loss: 0.234, Validation acc: 0.918
[45] Train loss: 0.001, Train acc: 1.000
[45] Validation loss: 0.235, Validation acc: 0.918
[46] Train loss: 0.001, Train acc: 1.000
[46] Validation loss: 0.232, Validation acc: 0.918
[47] Train loss: 0.001, Train acc: 1.000
[47] Validation loss: 0.232, Validation acc: 0.918
[48] Train loss: 0.001, Train acc: 1.000
[48] Validation loss: 0.231, Validation acc: 0.919
[49] Train loss: 0.001, Train acc: 1.000
[49] Validation loss: 0.230, Validation acc: 0.919
[50] Train loss: 0.001, Train acc: 1.000
[50] Validation loss: 0.232, Validation acc: 0.919
[51] Train loss: 0.001, Train acc: 1.000
[51] Validation loss: 0.230, Validation acc: 0.919
