[1] Train loss: 1.408, Train acc: 0.402
[1] Validation loss: 1.054, Validation acc: 0.581
[2] Train loss: 0.513, Train acc: 0.815
[2] Validation loss: 0.555, Validation acc: 0.786
[3] Train loss: 0.175, Train acc: 0.947
[3] Validation loss: 0.324, Validation acc: 0.878
[4] Train loss: 0.068, Train acc: 0.983
[4] Validation loss: 0.240, Validation acc: 0.912
[5] Train loss: 0.021, Train acc: 0.997
[5] Validation loss: 0.180, Validation acc: 0.933
[6] Train loss: 0.005, Train acc: 1.000
[6] Validation loss: 0.161, Validation acc: 0.943
[7] Train loss: 0.003, Train acc: 1.000
[7] Validation loss: 0.152, Validation acc: 0.945
[8] Train loss: 0.002, Train acc: 1.000
[8] Validation loss: 0.148, Validation acc: 0.947
[9] Train loss: 0.002, Train acc: 1.000
[9] Validation loss: 0.141, Validation acc: 0.948
[10] Train loss: 0.001, Train acc: 1.000
[10] Validation loss: 0.137, Validation acc: 0.951
[11] Train loss: 0.001, Train acc: 1.000
[11] Validation loss: 0.135, Validation acc: 0.952
[12] Train loss: 0.001, Train acc: 1.000
[12] Validation loss: 0.132, Validation acc: 0.954
[13] Train loss: 0.001, Train acc: 1.000
[13] Validation loss: 0.129, Validation acc: 0.955
[14] Train loss: 0.001, Train acc: 1.000
[14] Validation loss: 0.127, Validation acc: 0.955
[15] Train loss: 0.001, Train acc: 1.000
[15] Validation loss: 0.125, Validation acc: 0.956
[16] Train loss: 0.001, Train acc: 1.000
[16] Validation loss: 0.123, Validation acc: 0.957
[17] Train loss: 0.001, Train acc: 1.000
[17] Validation loss: 0.122, Validation acc: 0.957
[18] Train loss: 0.001, Train acc: 1.000
[18] Validation loss: 0.120, Validation acc: 0.957
[19] Train loss: 0.001, Train acc: 1.000
[19] Validation loss: 0.119, Validation acc: 0.959
[20] Train loss: 0.001, Train acc: 1.000
[20] Validation loss: 0.118, Validation acc: 0.959
[21] Train loss: 0.001, Train acc: 1.000
[21] Validation loss: 0.117, Validation acc: 0.959
[22] Train loss: 0.000, Train acc: 1.000
[22] Validation loss: 0.116, Validation acc: 0.960
[23] Train loss: 0.000, Train acc: 1.000
[23] Validation loss: 0.115, Validation acc: 0.960
[24] Train loss: 0.000, Train acc: 1.000
[24] Validation loss: 0.113, Validation acc: 0.961
[25] Train loss: 0.000, Train acc: 1.000
[25] Validation loss: 0.113, Validation acc: 0.961
[26] Train loss: 0.000, Train acc: 1.000
[26] Validation loss: 0.112, Validation acc: 0.962
[27] Train loss: 0.000, Train acc: 1.000
[27] Validation loss: 0.112, Validation acc: 0.962
[28] Train loss: 0.000, Train acc: 1.000
