[1] Train loss: 1.465, Train acc: 0.365
[1] Validation loss: 1.153, Validation acc: 0.539
[2] Train loss: 0.657, Train acc: 0.750
[2] Validation loss: 0.760, Validation acc: 0.712
[3] Train loss: 0.291, Train acc: 0.900
[3] Validation loss: 0.497, Validation acc: 0.820
[4] Train loss: 0.155, Train acc: 0.947
[4] Validation loss: 0.365, Validation acc: 0.870
[5] Train loss: 0.071, Train acc: 0.979
[5] Validation loss: 0.286, Validation acc: 0.896
[6] Train loss: 0.038, Train acc: 0.991
[6] Validation loss: 0.239, Validation acc: 0.917
[7] Train loss: 0.018, Train acc: 0.997
[7] Validation loss: 0.209, Validation acc: 0.927
[8] Train loss: 0.010, Train acc: 0.999
[8] Validation loss: 0.194, Validation acc: 0.929
[9] Train loss: 0.007, Train acc: 0.999
[9] Validation loss: 0.170, Validation acc: 0.939
[10] Train loss: 0.007, Train acc: 1.000
[10] Validation loss: 0.162, Validation acc: 0.939
[11] Train loss: 0.004, Train acc: 1.000
[11] Validation loss: 0.148, Validation acc: 0.944
[12] Train loss: 0.003, Train acc: 1.000
[12] Validation loss: 0.145, Validation acc: 0.948
[13] Train loss: 0.003, Train acc: 1.000
[13] Validation loss: 0.136, Validation acc: 0.951
[14] Train loss: 0.002, Train acc: 1.000
[14] Validation loss: 0.130, Validation acc: 0.953
[15] Train loss: 0.002, Train acc: 1.000
[15] Validation loss: 0.124, Validation acc: 0.957
[16] Train loss: 0.002, Train acc: 1.000
[16] Validation loss: 0.127, Validation acc: 0.956
[17] Train loss: 0.001, Train acc: 1.000
[17] Validation loss: 0.115, Validation acc: 0.959
[18] Train loss: 0.001, Train acc: 1.000
[18] Validation loss: 0.117, Validation acc: 0.958
[19] Train loss: 0.001, Train acc: 1.000
[19] Validation loss: 0.115, Validation acc: 0.958
[20] Train loss: 0.001, Train acc: 1.000
[20] Validation loss: 0.111, Validation acc: 0.960
[21] Train loss: 0.001, Train acc: 1.000
[21] Validation loss: 0.120, Validation acc: 0.959
[22] Train loss: 0.002, Train acc: 1.000
[22] Validation loss: 0.119, Validation acc: 0.957
[23] Train loss: 0.002, Train acc: 1.000
[23] Validation loss: 0.129, Validation acc: 0.954
[24] Train loss: 0.001, Train acc: 1.000
[24] Validation loss: 0.115, Validation acc: 0.958
[25] Train loss: 0.001, Train acc: 1.000
[25] Validation loss: 0.108, Validation acc: 0.960
[26] Train loss: 0.003, Train acc: 1.000
[26] Validation loss: 0.154, Validation acc: 0.947
[27] Train loss: 0.006, Train acc: 0.999
[27] Validation loss: 0.145, Validation acc: 0.950
[28] Train loss: 0.006, Train acc: 0.999
[28] Validation loss: 0.151, Validation acc: 0.949
[29] Train loss: 0.006, Train acc: 0.998
[29] Validation loss: 0.147, Validation acc: 0.950
[30] Train loss: 0.004, Train acc: 0.999
[30] Validation loss: 0.148, Validation acc: 0.952
[31] Train loss: 0.005, Train acc: 0.999
[31] Validation loss: 0.204, Validation acc: 0.937
[32] Train loss: 0.028, Train acc: 0.992
[32] Validation loss: 0.303, Validation acc: 0.909
[33] Train loss: 0.130, Train acc: 0.959
[33] Validation loss: 0.502, Validation acc: 0.859
[34] Train loss: 0.211, Train acc: 0.933
[34] Validation loss: 0.439, Validation acc: 0.867
[35] Train loss: 0.132, Train acc: 0.958
[35] Validation loss: 0.309, Validation acc: 0.901
[36] Train loss: 0.040, Train acc: 0.989
[36] Validation loss: 0.241, Validation acc: 0.924
[37] Train loss: 0.015, Train acc: 0.997
[37] Validation loss: 0.200, Validation acc: 0.933
[38] Train loss: 0.009, Train acc: 0.998
[38] Validation loss: 0.187, Validation acc: 0.938
[39] Train loss: 0.005, Train acc: 0.999
[39] Validation loss: 0.180, Validation acc: 0.939
[40] Train loss: 0.006, Train acc: 0.999
[40] Validation loss: 0.169, Validation acc: 0.941
At epoch 39, lr changed to 0.010000000000000002
[41] Train loss: 0.003, Train acc: 0.999
[41] Validation loss: 0.171, Validation acc: 0.943
[42] Train loss: 0.003, Train acc: 1.000
[42] Validation loss: 0.169, Validation acc: 0.942
[43] Train loss: 0.004, Train acc: 1.000
[43] Validation loss: 0.164, Validation acc: 0.946
[44] Train loss: 0.003, Train acc: 0.999
[44] Validation loss: 0.165, Validation acc: 0.946
[45] Train loss: 0.004, Train acc: 0.999
[45] Validation loss: 0.161, Validation acc: 0.946
[46] Train loss: 0.003, Train acc: 1.000
[46] Validation loss: 0.157, Validation acc: 0.947
[47] Train loss: 0.003, Train acc: 1.000
[47] Validation loss: 0.159, Validation acc: 0.945
[48] Train loss: 0.002, Train acc: 1.000
[48] Validation loss: 0.159, Validation acc: 0.947
[49] Train loss: 0.003, Train acc: 1.000
[49] Validation loss: 0.160, Validation acc: 0.947
[50] Train loss: 0.002, Train acc: 1.000
[50] Validation loss: 0.163, Validation acc: 0.946
[51] Train loss: 0.007, Train acc: 0.999
[51] Validation loss: 0.159, Validation acc: 0.946
[52] Train loss: 0.002, Train acc: 1.000
[52] Validation loss: 0.150, Validation acc: 0.951
[53] Train loss: 0.002, Train acc: 1.000
[53] Validation loss: 0.152, Validation acc: 0.949
[54] Train loss: 0.001, Train acc: 1.000
[54] Validation loss: 0.151, Validation acc: 0.950
[55] Train loss: 0.002, Train acc: 1.000
[55] Validation loss: 0.153, Validation acc: 0.950
[56] Train loss: 0.002, Train acc: 1.000
[56] Validation loss: 0.151, Validation acc: 0.948
[57] Train loss: 0.002, Train acc: 1.000
[57] Validation loss: 0.150, Validation acc: 0.950
[58] Train loss: 0.003, Train acc: 1.000
[58] Validation loss: 0.149, Validation acc: 0.951
[59] Train loss: 0.003, Train acc: 1.000
[59] Validation loss: 0.150, Validation acc: 0.951
[60] Train loss: 0.002, Train acc: 1.000
[60] Validation loss: 0.147, Validation acc: 0.952
At epoch 59, lr changed to 0.0010000000000000002
[61] Train loss: 0.001, Train acc: 1.000
[61] Validation loss: 0.150, Validation acc: 0.949
[62] Train loss: 0.002, Train acc: 1.000
[62] Validation loss: 0.148, Validation acc: 0.949
[63] Train loss: 0.002, Train acc: 1.000
[63] Validation loss: 0.149, Validation acc: 0.949
[64] Train loss: 0.002, Train acc: 1.000
[64] Validation loss: 0.149, Validation acc: 0.952
[65] Train loss: 0.002, Train acc: 1.000
[65] Validation loss: 0.150, Validation acc: 0.948
[66] Train loss: 0.001, Train acc: 1.000
[66] Validation loss: 0.146, Validation acc: 0.950
[67] Train loss: 0.002, Train acc: 1.000
[67] Validation loss: 0.149, Validation acc: 0.948
[68] Train loss: 0.002, Train acc: 1.000
[68] Validation loss: 0.145, Validation acc: 0.951
[69] Train loss: 0.001, Train acc: 1.000
[69] Validation loss: 0.150, Validation acc: 0.949
[70] Train loss: 0.002, Train acc: 1.000
[70] Validation loss: 0.153, Validation acc: 0.951
[71] Train loss: 0.002, Train acc: 1.000
[71] Validation loss: 0.146, Validation acc: 0.951
[72] Train loss: 0.003, Train acc: 1.000
[72] Validation loss: 0.149, Validation acc: 0.950
[73] Train loss: 0.002, Train acc: 1.000
[73] Validation loss: 0.148, Validation acc: 0.948
[74] Train loss: 0.002, Train acc: 1.000
[74] Validation loss: 0.146, Validation acc: 0.952
[75] Train loss: 0.002, Train acc: 1.000
[75] Validation loss: 0.147, Validation acc: 0.950
[76] Train loss: 0.002, Train acc: 1.000
[76] Validation loss: 0.148, Validation acc: 0.949
[77] Train loss: 0.002, Train acc: 1.000
[77] Validation loss: 0.147, Validation acc: 0.950
[78] Train loss: 0.002, Train acc: 1.000
[78] Validation loss: 0.149, Validation acc: 0.950
[79] Train loss: 0.001, Train acc: 1.000
[79] Validation loss: 0.147, Validation acc: 0.950
[80] Train loss: 0.002, Train acc: 1.000
[80] Validation loss: 0.148, Validation acc: 0.950
Best_val_acc is 0.9598
