[1] Train loss: 1.655, Train acc: 0.236
[1] Validation loss: 1.569, Validation acc: 0.321
[2] Train loss: 0.783, Train acc: 0.736
[2] Validation loss: 1.848, Validation acc: 0.363
[3] Train loss: 0.326, Train acc: 0.909
[3] Validation loss: 2.178, Validation acc: 0.379
[4] Train loss: 0.153, Train acc: 0.964
[4] Validation loss: 2.319, Validation acc: 0.383
[5] Train loss: 0.057, Train acc: 0.992
[5] Validation loss: 2.459, Validation acc: 0.387
[6] Train loss: 0.034, Train acc: 0.997
[6] Validation loss: 2.533, Validation acc: 0.395
[7] Train loss: 0.021, Train acc: 1.000
[7] Validation loss: 2.639, Validation acc: 0.391
[8] Train loss: 0.019, Train acc: 0.999
[8] Validation loss: 2.710, Validation acc: 0.398
[9] Train loss: 0.020, Train acc: 1.000
[9] Validation loss: 2.816, Validation acc: 0.402
[10] Train loss: 0.030, Train acc: 0.995
[10] Validation loss: 2.894, Validation acc: 0.399
[11] Train loss: 0.055, Train acc: 0.992
[11] Validation loss: 3.100, Validation acc: 0.387
[12] Train loss: 0.048, Train acc: 0.988
[12] Validation loss: 3.149, Validation acc: 0.392
[13] Train loss: 0.021, Train acc: 0.999
[13] Validation loss: 3.173, Validation acc: 0.398
[14] Train loss: 0.014, Train acc: 1.000
[14] Validation loss: 3.204, Validation acc: 0.400
[15] Train loss: 0.015, Train acc: 0.998
[15] Validation loss: 3.342, Validation acc: 0.395
[16] Train loss: 0.023, Train acc: 0.995
[16] Validation loss: 3.264, Validation acc: 0.397
[17] Train loss: 0.012, Train acc: 0.999
[17] Validation loss: 3.311, Validation acc: 0.396
[18] Train loss: 0.054, Train acc: 0.995
[18] Validation loss: 3.682, Validation acc: 0.393
[19] Train loss: 0.114, Train acc: 0.964
[19] Validation loss: 3.537, Validation acc: 0.390
[20] Train loss: 0.086, Train acc: 0.971
[20] Validation loss: 3.649, Validation acc: 0.394
[21] Train loss: 0.060, Train acc: 0.980
[21] Validation loss: 3.584, Validation acc: 0.396
[22] Train loss: 0.025, Train acc: 0.998
[22] Validation loss: 3.645, Validation acc: 0.401
[23] Train loss: 0.026, Train acc: 0.993
[23] Validation loss: 3.627, Validation acc: 0.403
[24] Train loss: 0.015, Train acc: 0.999
[24] Validation loss: 3.703, Validation acc: 0.407
[25] Train loss: 0.015, Train acc: 0.997
[25] Validation loss: 3.744, Validation acc: 0.409
[26] Train loss: 0.012, Train acc: 0.999
[26] Validation loss: 3.829, Validation acc: 0.406
[27] Train loss: 0.014, Train acc: 0.999
[27] Validation loss: 3.889, Validation acc: 0.400
[28] Train loss: 0.021, Train acc: 0.998
[28] Validation loss: 3.974, Validation acc: 0.394
[29] Train loss: 0.037, Train acc: 0.993
[29] Validation loss: 4.023, Validation acc: 0.395
[30] Train loss: 0.035, Train acc: 0.990
[30] Validation loss: 3.943, Validation acc: 0.401
[31] Train loss: 0.014, Train acc: 0.998
[31] Validation loss: 3.981, Validation acc: 0.401
[32] Train loss: 0.008, Train acc: 1.000
[32] Validation loss: 4.014, Validation acc: 0.405
[33] Train loss: 0.008, Train acc: 0.999
[33] Validation loss: 3.958, Validation acc: 0.408
[34] Train loss: 0.005, Train acc: 1.000
[34] Validation loss: 4.027, Validation acc: 0.408
[35] Train loss: 0.009, Train acc: 0.998
[35] Validation loss: 4.040, Validation acc: 0.406
[36] Train loss: 0.006, Train acc: 1.000
[36] Validation loss: 4.121, Validation acc: 0.404
[37] Train loss: 0.007, Train acc: 0.999
[37] Validation loss: 4.155, Validation acc: 0.410
[38] Train loss: 0.006, Train acc: 0.999
[38] Validation loss: 4.178, Validation acc: 0.408
[39] Train loss: 0.002, Train acc: 1.000
[39] Validation loss: 4.092, Validation acc: 0.407
[40] Train loss: 0.004, Train acc: 0.999
[40] Validation loss: 4.075, Validation acc: 0.411
[41] Train loss: 0.003, Train acc: 1.000
[41] Validation loss: 4.072, Validation acc: 0.410
[42] Train loss: 0.004, Train acc: 1.000
[42] Validation loss: 4.106, Validation acc: 0.407
[43] Train loss: 0.002, Train acc: 1.000
[43] Validation loss: 4.106, Validation acc: 0.413
[44] Train loss: 0.002, Train acc: 1.000
[44] Validation loss: 4.111, Validation acc: 0.412
[45] Train loss: 0.003, Train acc: 1.000
[45] Validation loss: 4.110, Validation acc: 0.413
[46] Train loss: 0.002, Train acc: 1.000
[46] Validation loss: 4.146, Validation acc: 0.414
[47] Train loss: 0.002, Train acc: 1.000
[47] Validation loss: 4.157, Validation acc: 0.416
[48] Train loss: 0.002, Train acc: 1.000
[48] Validation loss: 4.151, Validation acc: 0.416
[49] Train loss: 0.001, Train acc: 1.000
[49] Validation loss: 4.186, Validation acc: 0.415
[50] Train loss: 0.002, Train acc: 1.000
[50] Validation loss: 4.172, Validation acc: 0.415
[51] Train loss: 0.003, Train acc: 1.000
[51] Validation loss: 4.220, Validation acc: 0.415
[52] Train loss: 0.006, Train acc: 0.999
[52] Validation loss: 4.218, Validation acc: 0.415
[53] Train loss: 0.002, Train acc: 1.000
[53] Validation loss: 4.212, Validation acc: 0.416
[54] Train loss: 0.002, Train acc: 1.000
[54] Validation loss: 4.194, Validation acc: 0.413
[55] Train loss: 0.002, Train acc: 1.000
[55] Validation loss: 4.272, Validation acc: 0.418
[56] Train loss: 0.002, Train acc: 1.000
[56] Validation loss: 4.194, Validation acc: 0.416
[57] Train loss: 0.002, Train acc: 1.000
[57] Validation loss: 4.272, Validation acc: 0.417
[58] Train loss: 0.002, Train acc: 1.000
[58] Validation loss: 4.222, Validation acc: 0.411
[59] Train loss: 0.002, Train acc: 1.000
[59] Validation loss: 4.179, Validation acc: 0.414
[60] Train loss: 0.001, Train acc: 1.000
[60] Validation loss: 4.241, Validation acc: 0.414
[61] Train loss: 0.002, Train acc: 1.000
[61] Validation loss: 4.216, Validation acc: 0.413
[62] Train loss: 0.001, Train acc: 1.000
[62] Validation loss: 4.204, Validation acc: 0.413
[63] Train loss: 0.001, Train acc: 1.000
[63] Validation loss: 4.157, Validation acc: 0.413
[64] Train loss: 0.001, Train acc: 1.000
[64] Validation loss: 4.271, Validation acc: 0.417
[65] Train loss: 0.004, Train acc: 1.000
[65] Validation loss: 4.381, Validation acc: 0.415
[66] Train loss: 0.002, Train acc: 1.000
[66] Validation loss: 4.310, Validation acc: 0.414
[67] Train loss: 0.002, Train acc: 1.000
[67] Validation loss: 4.348, Validation acc: 0.416
[68] Train loss: 0.003, Train acc: 1.000
[68] Validation loss: 4.358, Validation acc: 0.416
[69] Train loss: 0.001, Train acc: 1.000
[69] Validation loss: 4.354, Validation acc: 0.417
[70] Train loss: 0.019, Train acc: 0.998
[70] Validation loss: 4.515, Validation acc: 0.408
[71] Train loss: 0.021, Train acc: 0.994
[71] Validation loss: 4.460, Validation acc: 0.405
[72] Train loss: 0.010, Train acc: 0.997
[72] Validation loss: 4.508, Validation acc: 0.406
[73] Train loss: 0.014, Train acc: 0.997
[73] Validation loss: 4.483, Validation acc: 0.407
[74] Train loss: 0.010, Train acc: 0.998
[74] Validation loss: 4.377, Validation acc: 0.409
[75] Train loss: 0.004, Train acc: 1.000
[75] Validation loss: 4.424, Validation acc: 0.412
At epoch 74, lr changed to 0.010000000000000002
[76] Train loss: 0.006, Train acc: 1.000
[76] Validation loss: 4.403, Validation acc: 0.413
[77] Train loss: 0.003, Train acc: 1.000
[77] Validation loss: 4.443, Validation acc: 0.412
[78] Train loss: 0.003, Train acc: 1.000
[78] Validation loss: 4.399, Validation acc: 0.412
[79] Train loss: 0.002, Train acc: 1.000
[79] Validation loss: 4.339, Validation acc: 0.413
[80] Train loss: 0.002, Train acc: 1.000
[80] Validation loss: 4.435, Validation acc: 0.414
[81] Train loss: 0.004, Train acc: 0.999
[81] Validation loss: 4.283, Validation acc: 0.411
[82] Train loss: 0.005, Train acc: 1.000
[82] Validation loss: 4.435, Validation acc: 0.413
[83] Train loss: 0.004, Train acc: 1.000
[83] Validation loss: 4.309, Validation acc: 0.412
[84] Train loss: 0.002, Train acc: 1.000
[84] Validation loss: 4.327, Validation acc: 0.410
[85] Train loss: 0.004, Train acc: 0.999
[85] Validation loss: 4.423, Validation acc: 0.413
[86] Train loss: 0.004, Train acc: 0.999
[86] Validation loss: 4.538, Validation acc: 0.411
[87] Train loss: 0.002, Train acc: 1.000
[87] Validation loss: 4.412, Validation acc: 0.413
[88] Train loss: 0.002, Train acc: 1.000
[88] Validation loss: 4.423, Validation acc: 0.412
[89] Train loss: 0.010, Train acc: 0.998
[89] Validation loss: 4.480, Validation acc: 0.416
[90] Train loss: 0.002, Train acc: 1.000
[90] Validation loss: 4.503, Validation acc: 0.415
[91] Train loss: 0.002, Train acc: 1.000
[91] Validation loss: 4.493, Validation acc: 0.413
[92] Train loss: 0.002, Train acc: 1.000
[92] Validation loss: 4.471, Validation acc: 0.414
[93] Train loss: 0.003, Train acc: 1.000
[93] Validation loss: 4.452, Validation acc: 0.415
[94] Train loss: 0.003, Train acc: 1.000
[94] Validation loss: 4.451, Validation acc: 0.412
[95] Train loss: 0.002, Train acc: 1.000
[95] Validation loss: 4.441, Validation acc: 0.415
At epoch 94, lr changed to 0.0010000000000000002
[96] Train loss: 0.002, Train acc: 1.000
[96] Validation loss: 4.520, Validation acc: 0.414
[97] Train loss: 0.020, Train acc: 0.995
[97] Validation loss: 4.514, Validation acc: 0.412
[98] Train loss: 0.002, Train acc: 1.000
[98] Validation loss: 4.393, Validation acc: 0.413
[99] Train loss: 0.001, Train acc: 1.000
[99] Validation loss: 4.408, Validation acc: 0.414
[100] Train loss: 0.002, Train acc: 1.000
[100] Validation loss: 4.404, Validation acc: 0.413
[101] Train loss: 0.002, Train acc: 1.000
[101] Validation loss: 4.340, Validation acc: 0.413
[102] Train loss: 0.006, Train acc: 0.999
[102] Validation loss: 4.490, Validation acc: 0.415
[103] Train loss: 0.002, Train acc: 1.000
[103] Validation loss: 4.459, Validation acc: 0.414
[104] Train loss: 0.002, Train acc: 1.000
[104] Validation loss: 4.515, Validation acc: 0.412
[105] Train loss: 0.001, Train acc: 1.000
[105] Validation loss: 4.385, Validation acc: 0.414
[106] Train loss: 0.001, Train acc: 1.000
[106] Validation loss: 4.412, Validation acc: 0.415
[107] Train loss: 0.003, Train acc: 1.000
[107] Validation loss: 4.479, Validation acc: 0.411
[108] Train loss: 0.004, Train acc: 1.000
[108] Validation loss: 4.353, Validation acc: 0.414
[109] Train loss: 0.011, Train acc: 0.999
[109] Validation loss: 4.501, Validation acc: 0.412
[110] Train loss: 0.001, Train acc: 1.000
[110] Validation loss: 4.515, Validation acc: 0.413
[111] Train loss: 0.003, Train acc: 0.999
[111] Validation loss: 4.438, Validation acc: 0.412
[112] Train loss: 0.002, Train acc: 1.000
[112] Validation loss: 4.481, Validation acc: 0.413
[113] Train loss: 0.002, Train acc: 1.000
[113] Validation loss: 4.485, Validation acc: 0.414
[114] Train loss: 0.004, Train acc: 1.000
[114] Validation loss: 4.431, Validation acc: 0.411
[115] Train loss: 0.001, Train acc: 1.000
[115] Validation loss: 4.368, Validation acc: 0.413
Best_val_acc is 0.418
