[1] Train loss: 1.371, Train acc: 0.414
[1] Validation loss: 0.943, Validation acc: 0.629
[2] Train loss: 0.516, Train acc: 0.811
[2] Validation loss: 0.433, Validation acc: 0.843
[3] Train loss: 0.175, Train acc: 0.941
[3] Validation loss: 0.231, Validation acc: 0.914
[4] Train loss: 0.075, Train acc: 0.978
[4] Validation loss: 0.157, Validation acc: 0.942
[5] Train loss: 0.058, Train acc: 0.981
[5] Validation loss: 0.149, Validation acc: 0.948
[6] Train loss: 0.041, Train acc: 0.987
[6] Validation loss: 0.130, Validation acc: 0.954
[7] Train loss: 0.027, Train acc: 0.993
[7] Validation loss: 0.105, Validation acc: 0.961
[8] Train loss: 0.014, Train acc: 0.997
[8] Validation loss: 0.084, Validation acc: 0.971
[9] Train loss: 0.012, Train acc: 0.998
[9] Validation loss: 0.090, Validation acc: 0.969
[10] Train loss: 0.011, Train acc: 0.997
[10] Validation loss: 0.077, Validation acc: 0.974
[11] Train loss: 0.007, Train acc: 0.999
[11] Validation loss: 0.069, Validation acc: 0.976
[12] Train loss: 0.005, Train acc: 1.000
[12] Validation loss: 0.066, Validation acc: 0.978
[13] Train loss: 0.003, Train acc: 1.000
[13] Validation loss: 0.058, Validation acc: 0.980
[14] Train loss: 0.002, Train acc: 1.000
[14] Validation loss: 0.054, Validation acc: 0.980
[15] Train loss: 0.002, Train acc: 1.000
[15] Validation loss: 0.049, Validation acc: 0.983
[16] Train loss: 0.002, Train acc: 1.000
[16] Validation loss: 0.047, Validation acc: 0.984
[17] Train loss: 0.002, Train acc: 1.000
[17] Validation loss: 0.042, Validation acc: 0.986
[18] Train loss: 0.002, Train acc: 1.000
[18] Validation loss: 0.041, Validation acc: 0.987
[19] Train loss: 0.001, Train acc: 1.000
[19] Validation loss: 0.038, Validation acc: 0.989
[20] Train loss: 0.001, Train acc: 1.000
[20] Validation loss: 0.034, Validation acc: 0.989
[21] Train loss: 0.001, Train acc: 1.000
[21] Validation loss: 0.035, Validation acc: 0.987
[22] Train loss: 0.001, Train acc: 1.000
[22] Validation loss: 0.036, Validation acc: 0.988
[23] Train loss: 0.002, Train acc: 0.999
[23] Validation loss: 0.034, Validation acc: 0.989
[24] Train loss: 0.001, Train acc: 1.000
[24] Validation loss: 0.033, Validation acc: 0.989
[25] Train loss: 0.001, Train acc: 1.000
[25] Validation loss: 0.032, Validation acc: 0.989
[26] Train loss: 0.001, Train acc: 1.000
[26] Validation loss: 0.031, Validation acc: 0.990
[27] Train loss: 0.001, Train acc: 1.000
[27] Validation loss: 0.031, Validation acc: 0.989
[28] Train loss: 0.001, Train acc: 1.000
[28] Validation loss: 0.031, Validation acc: 0.989
[29] Train loss: 0.000, Train acc: 1.000
