[1] Train loss: 1.366, Train acc: 0.406
[1] Validation loss: 0.930, Validation acc: 0.642
[2] Train loss: 0.440, Train acc: 0.848
[2] Validation loss: 0.441, Validation acc: 0.836
[3] Train loss: 0.168, Train acc: 0.944
[3] Validation loss: 0.273, Validation acc: 0.902
[4] Train loss: 0.063, Train acc: 0.984
[4] Validation loss: 0.175, Validation acc: 0.937
[5] Train loss: 0.012, Train acc: 0.999
[5] Validation loss: 0.138, Validation acc: 0.951
[6] Train loss: 0.003, Train acc: 1.000
[6] Validation loss: 0.123, Validation acc: 0.954
[7] Train loss: 0.002, Train acc: 1.000
[7] Validation loss: 0.116, Validation acc: 0.957
[8] Train loss: 0.002, Train acc: 1.000
[8] Validation loss: 0.111, Validation acc: 0.960
[9] Train loss: 0.001, Train acc: 1.000
[9] Validation loss: 0.106, Validation acc: 0.961
[10] Train loss: 0.001, Train acc: 1.000
[10] Validation loss: 0.103, Validation acc: 0.962
[11] Train loss: 0.001, Train acc: 1.000
[11] Validation loss: 0.100, Validation acc: 0.963
[12] Train loss: 0.001, Train acc: 1.000
[12] Validation loss: 0.098, Validation acc: 0.965
[13] Train loss: 0.001, Train acc: 1.000
[13] Validation loss: 0.100, Validation acc: 0.966
[14] Train loss: 0.001, Train acc: 1.000
[14] Validation loss: 0.094, Validation acc: 0.966
[15] Train loss: 0.001, Train acc: 1.000
[15] Validation loss: 0.092, Validation acc: 0.967
[16] Train loss: 0.001, Train acc: 1.000
[16] Validation loss: 0.091, Validation acc: 0.968
[17] Train loss: 0.001, Train acc: 1.000
[17] Validation loss: 0.089, Validation acc: 0.969
[18] Train loss: 0.001, Train acc: 1.000
[18] Validation loss: 0.088, Validation acc: 0.969
[19] Train loss: 0.001, Train acc: 1.000
[19] Validation loss: 0.087, Validation acc: 0.970
[20] Train loss: 0.001, Train acc: 1.000
[20] Validation loss: 0.086, Validation acc: 0.970
[21] Train loss: 0.000, Train acc: 1.000
[21] Validation loss: 0.084, Validation acc: 0.970
[22] Train loss: 0.000, Train acc: 1.000
[22] Validation loss: 0.083, Validation acc: 0.970
[23] Train loss: 0.000, Train acc: 1.000
[23] Validation loss: 0.082, Validation acc: 0.970
[24] Train loss: 0.000, Train acc: 1.000
[24] Validation loss: 0.081, Validation acc: 0.970
[25] Train loss: 0.000, Train acc: 1.000
[25] Validation loss: 0.081, Validation acc: 0.970
[26] Train loss: 0.000, Train acc: 1.000
[26] Validation loss: 0.082, Validation acc: 0.970
[27] Train loss: 0.000, Train acc: 1.000
[27] Validation loss: 0.079, Validation acc: 0.971
[28] Train loss: 0.000, Train acc: 1.000
[28] Validation loss: 0.078, Validation acc: 0.971
[29] Train loss: 0.000, Train acc: 1.000
[29] Validation loss: 0.078, Validation acc: 0.971
[30] Train loss: 0.000, Train acc: 1.000
[30] Validation loss: 0.077, Validation acc: 0.972
[31] Train loss: 0.000, Train acc: 1.000
[31] Validation loss: 0.076, Validation acc: 0.972
[32] Train loss: 0.000, Train acc: 1.000
[32] Validation loss: 0.077, Validation acc: 0.972
[33] Train loss: 0.000, Train acc: 1.000
[33] Validation loss: 0.075, Validation acc: 0.972
[34] Train loss: 0.000, Train acc: 1.000
[34] Validation loss: 0.075, Validation acc: 0.972
[35] Train loss: 0.000, Train acc: 1.000
[35] Validation loss: 0.074, Validation acc: 0.973
[36] Train loss: 0.000, Train acc: 1.000
[36] Validation loss: 0.074, Validation acc: 0.973
[37] Train loss: 0.000, Train acc: 1.000
[37] Validation loss: 0.073, Validation acc: 0.973
[38] Train loss: 0.000, Train acc: 1.000
[38] Validation loss: 0.073, Validation acc: 0.973
[39] Train loss: 0.000, Train acc: 1.000
[39] Validation loss: 0.072, Validation acc: 0.973
[40] Train loss: 0.000, Train acc: 1.000
[40] Validation loss: 0.072, Validation acc: 0.973
[41] Train loss: 0.000, Train acc: 1.000
[41] Validation loss: 0.071, Validation acc: 0.973
[42] Train loss: 0.000, Train acc: 1.000
[42] Validation loss: 0.072, Validation acc: 0.973
[43] Train loss: 0.000, Train acc: 1.000
[43] Validation loss: 0.071, Validation acc: 0.973
[44] Train loss: 0.000, Train acc: 1.000
[44] Validation loss: 0.070, Validation acc: 0.973
[45] Train loss: 0.000, Train acc: 1.000
[45] Validation loss: 0.070, Validation acc: 0.973
[46] Train loss: 0.000, Train acc: 1.000
[46] Validation loss: 0.072, Validation acc: 0.973
[47] Train loss: 0.000, Train acc: 1.000
[47] Validation loss: 0.070, Validation acc: 0.973
[48] Train loss: 0.000, Train acc: 1.000
[48] Validation loss: 0.069, Validation acc: 0.974
[49] Train loss: 0.000, Train acc: 1.000
[49] Validation loss: 0.068, Validation acc: 0.974
[50] Train loss: 0.000, Train acc: 1.000
[50] Validation loss: 0.068, Validation acc: 0.974
[51] Train loss: 0.000, Train acc: 1.000
[51] Validation loss: 0.068, Validation acc: 0.974
[52] Train loss: 0.000, Train acc: 1.000
[52] Validation loss: 0.067, Validation acc: 0.974
[53] Train loss: 0.000, Train acc: 1.000
[53] Validation loss: 0.067, Validation acc: 0.974
[54] Train loss: 0.000, Train acc: 1.000
[54] Validation loss: 0.067, Validation acc: 0.974
[55] Train loss: 0.000, Train acc: 1.000
[55] Validation loss: 0.067, Validation acc: 0.974
[56] Train loss: 0.000, Train acc: 1.000
[56] Validation loss: 0.066, Validation acc: 0.975
[57] Train loss: 0.000, Train acc: 1.000
[57] Validation loss: 0.067, Validation acc: 0.975
[58] Train loss: 0.000, Train acc: 1.000
[58] Validation loss: 0.067, Validation acc: 0.975
[59] Train loss: 0.000, Train acc: 1.000
[59] Validation loss: 0.066, Validation acc: 0.975
[60] Train loss: 0.000, Train acc: 1.000
[60] Validation loss: 0.065, Validation acc: 0.975
[61] Train loss: 0.000, Train acc: 1.000
[61] Validation loss: 0.065, Validation acc: 0.976
[62] Train loss: 0.000, Train acc: 1.000
[62] Validation loss: 0.065, Validation acc: 0.976
[63] Train loss: 0.000, Train acc: 1.000
[63] Validation loss: 0.068, Validation acc: 0.976
[64] Train loss: 0.000, Train acc: 1.000
[64] Validation loss: 0.064, Validation acc: 0.976
[65] Train loss: 0.000, Train acc: 1.000
[65] Validation loss: 0.064, Validation acc: 0.976
[66] Train loss: 0.000, Train acc: 1.000
[66] Validation loss: 0.064, Validation acc: 0.976
[67] Train loss: 0.000, Train acc: 1.000
[67] Validation loss: 0.064, Validation acc: 0.976
[68] Train loss: 0.000, Train acc: 1.000
[68] Validation loss: 0.063, Validation acc: 0.976
[69] Train loss: 0.000, Train acc: 1.000
[69] Validation loss: 0.063, Validation acc: 0.977
[70] Train loss: 0.000, Train acc: 1.000
[70] Validation loss: 0.063, Validation acc: 0.977
[71] Train loss: 0.000, Train acc: 1.000
[71] Validation loss: 0.063, Validation acc: 0.977
[72] Train loss: 0.000, Train acc: 1.000
[72] Validation loss: 0.063, Validation acc: 0.977
[73] Train loss: 0.000, Train acc: 1.000
[73] Validation loss: 0.062, Validation acc: 0.977
[74] Train loss: 0.000, Train acc: 1.000
[74] Validation loss: 0.063, Validation acc: 0.977
[75] Train loss: 0.000, Train acc: 1.000
[75] Validation loss: 0.062, Validation acc: 0.977
[76] Train loss: 0.000, Train acc: 1.000
[76] Validation loss: 0.065, Validation acc: 0.977
[77] Train loss: 0.000, Train acc: 1.000
[77] Validation loss: 0.064, Validation acc: 0.978
[78] Train loss: 0.000, Train acc: 1.000
[78] Validation loss: 0.064, Validation acc: 0.978
[79] Train loss: 0.000, Train acc: 1.000
[79] Validation loss: 0.061, Validation acc: 0.978
[80] Train loss: 0.000, Train acc: 1.000
[80] Validation loss: 0.061, Validation acc: 0.978
[81] Train loss: 0.000, Train acc: 1.000
[81] Validation loss: 0.061, Validation acc: 0.978
[82] Train loss: 0.000, Train acc: 1.000
[82] Validation loss: 0.061, Validation acc: 0.978
[83] Train loss: 0.000, Train acc: 1.000
[83] Validation loss: 0.061, Validation acc: 0.978
[84] Train loss: 0.000, Train acc: 1.000
[84] Validation loss: 0.061, Validation acc: 0.978
[85] Train loss: 0.000, Train acc: 1.000
[85] Validation loss: 0.060, Validation acc: 0.978
[86] Train loss: 0.000, Train acc: 1.000
[86] Validation loss: 0.060, Validation acc: 0.978
[87] Train loss: 0.000, Train acc: 1.000
[87] Validation loss: 0.060, Validation acc: 0.978
[88] Train loss: 0.000, Train acc: 1.000
[88] Validation loss: 0.060, Validation acc: 0.978
[89] Train loss: 0.000, Train acc: 1.000
[89] Validation loss: 0.060, Validation acc: 0.978
[90] Train loss: 0.000, Train acc: 1.000
[90] Validation loss: 0.059, Validation acc: 0.978
[91] Train loss: 0.000, Train acc: 1.000
[91] Validation loss: 0.059, Validation acc: 0.979
[92] Train loss: 0.000, Train acc: 1.000
[92] Validation loss: 0.059, Validation acc: 0.979
[93] Train loss: 0.000, Train acc: 1.000
[93] Validation loss: 0.059, Validation acc: 0.979
[94] Train loss: 0.000, Train acc: 1.000
[94] Validation loss: 0.059, Validation acc: 0.979
[95] Train loss: 0.000, Train acc: 1.000
[95] Validation loss: 0.059, Validation acc: 0.979
[96] Train loss: 0.000, Train acc: 1.000
[96] Validation loss: 0.059, Validation acc: 0.979
[97] Train loss: 0.000, Train acc: 1.000
[97] Validation loss: 0.058, Validation acc: 0.979
[98] Train loss: 0.000, Train acc: 1.000
[98] Validation loss: 0.058, Validation acc: 0.979
[99] Train loss: 0.000, Train acc: 1.000
[99] Validation loss: 0.058, Validation acc: 0.979
[100] Train loss: 0.000, Train acc: 1.000
[100] Validation loss: 0.059, Validation acc: 0.979
[101] Train loss: 0.000, Train acc: 1.000
[101] Validation loss: 0.058, Validation acc: 0.979
[102] Train loss: 0.000, Train acc: 1.000
[102] Validation loss: 0.058, Validation acc: 0.979
[103] Train loss: 0.000, Train acc: 1.000
[103] Validation loss: 0.058, Validation acc: 0.979
[104] Train loss: 0.000, Train acc: 1.000
[104] Validation loss: 0.058, Validation acc: 0.979
[105] Train loss: 0.000, Train acc: 1.000
[105] Validation loss: 0.058, Validation acc: 0.979
[106] Train loss: 0.000, Train acc: 1.000
[106] Validation loss: 0.057, Validation acc: 0.979
[107] Train loss: 0.000, Train acc: 1.000
[107] Validation loss: 0.057, Validation acc: 0.980
[108] Train loss: 0.000, Train acc: 1.000
[108] Validation loss: 0.057, Validation acc: 0.980
[109] Train loss: 0.000, Train acc: 1.000
[109] Validation loss: 0.057, Validation acc: 0.980
[110] Train loss: 0.000, Train acc: 1.000
[110] Validation loss: 0.057, Validation acc: 0.980
[111] Train loss: 0.000, Train acc: 1.000
[111] Validation loss: 0.057, Validation acc: 0.980
[112] Train loss: 0.000, Train acc: 1.000
[112] Validation loss: 0.057, Validation acc: 0.980
[113] Train loss: 0.000, Train acc: 1.000
[113] Validation loss: 0.057, Validation acc: 0.980
[114] Train loss: 0.000, Train acc: 1.000
[114] Validation loss: 0.056, Validation acc: 0.980
[115] Train loss: 0.000, Train acc: 1.000
[115] Validation loss: 0.056, Validation acc: 0.980
[116] Train loss: 0.000, Train acc: 1.000
[116] Validation loss: 0.056, Validation acc: 0.980
[117] Train loss: 0.000, Train acc: 1.000
[117] Validation loss: 0.056, Validation acc: 0.980
[118] Train loss: 0.000, Train acc: 1.000
[118] Validation loss: 0.056, Validation acc: 0.980
[119] Train loss: 0.000, Train acc: 1.000
[119] Validation loss: 0.059, Validation acc: 0.980
[120] Train loss: 0.000, Train acc: 1.000
[120] Validation loss: 0.056, Validation acc: 0.980
