[1] Train loss: 1.692, Train acc: 0.224
[1] Validation loss: 1.697, Validation acc: 0.262
[2] Train loss: 0.513, Train acc: 0.914
[2] Validation loss: 1.960, Validation acc: 0.279
[3] Train loss: 0.107, Train acc: 1.000
[3] Validation loss: 2.139, Validation acc: 0.283
[4] Train loss: 0.039, Train acc: 1.000
[4] Validation loss: 2.240, Validation acc: 0.283
[5] Train loss: 0.025, Train acc: 1.000
[5] Validation loss: 2.332, Validation acc: 0.282
[6] Train loss: 0.018, Train acc: 1.000
[6] Validation loss: 2.390, Validation acc: 0.284
[7] Train loss: 0.014, Train acc: 1.000
[7] Validation loss: 2.446, Validation acc: 0.286
[8] Train loss: 0.011, Train acc: 1.000
[8] Validation loss: 2.491, Validation acc: 0.286
[9] Train loss: 0.010, Train acc: 1.000
[9] Validation loss: 2.532, Validation acc: 0.285
[10] Train loss: 0.008, Train acc: 1.000
[10] Validation loss: 2.573, Validation acc: 0.286
[11] Train loss: 0.007, Train acc: 1.000
[11] Validation loss: 2.601, Validation acc: 0.286
[12] Train loss: 0.006, Train acc: 1.000
[12] Validation loss: 2.640, Validation acc: 0.287
[13] Train loss: 0.006, Train acc: 1.000
[13] Validation loss: 2.667, Validation acc: 0.288
[14] Train loss: 0.005, Train acc: 1.000
[14] Validation loss: 2.686, Validation acc: 0.288
[15] Train loss: 0.005, Train acc: 1.000
[15] Validation loss: 2.717, Validation acc: 0.289
[16] Train loss: 0.004, Train acc: 1.000
[16] Validation loss: 2.738, Validation acc: 0.288
[17] Train loss: 0.004, Train acc: 1.000
[17] Validation loss: 2.756, Validation acc: 0.288
[18] Train loss: 0.004, Train acc: 1.000
[18] Validation loss: 2.779, Validation acc: 0.288
[19] Train loss: 0.004, Train acc: 1.000
[19] Validation loss: 2.798, Validation acc: 0.288
[20] Train loss: 0.003, Train acc: 1.000
[20] Validation loss: 2.813, Validation acc: 0.288
[21] Train loss: 0.003, Train acc: 1.000
[21] Validation loss: 2.835, Validation acc: 0.288
[22] Train loss: 0.003, Train acc: 1.000
[22] Validation loss: 2.848, Validation acc: 0.289
[23] Train loss: 0.003, Train acc: 1.000
[23] Validation loss: 2.854, Validation acc: 0.289
[24] Train loss: 0.003, Train acc: 1.000
[24] Validation loss: 2.873, Validation acc: 0.289
[25] Train loss: 0.002, Train acc: 1.000
[25] Validation loss: 2.890, Validation acc: 0.289
[26] Train loss: 0.002, Train acc: 1.000
[26] Validation loss: 2.905, Validation acc: 0.289
[27] Train loss: 0.002, Train acc: 1.000
[27] Validation loss: 2.917, Validation acc: 0.289
[28] Train loss: 0.002, Train acc: 1.000
[28] Validation loss: 2.921, Validation acc: 0.289
[29] Train loss: 0.002, Train acc: 1.000
[29] Validation loss: 2.932, Validation acc: 0.289
[30] Train loss: 0.002, Train acc: 1.000
[30] Validation loss: 2.953, Validation acc: 0.289
[31] Train loss: 0.002, Train acc: 1.000
[31] Validation loss: 2.956, Validation acc: 0.289
[32] Train loss: 0.002, Train acc: 1.000
[32] Validation loss: 2.984, Validation acc: 0.289
[33] Train loss: 0.002, Train acc: 1.000
[33] Validation loss: 2.976, Validation acc: 0.289
[34] Train loss: 0.002, Train acc: 1.000
[34] Validation loss: 3.003, Validation acc: 0.289
[35] Train loss: 0.002, Train acc: 1.000
[35] Validation loss: 3.001, Validation acc: 0.289
[36] Train loss: 0.002, Train acc: 1.000
[36] Validation loss: 3.013, Validation acc: 0.290
[37] Train loss: 0.002, Train acc: 1.000
[37] Validation loss: 3.027, Validation acc: 0.290
[38] Train loss: 0.001, Train acc: 1.000
[38] Validation loss: 3.030, Validation acc: 0.290
[39] Train loss: 0.001, Train acc: 1.000
[39] Validation loss: 3.045, Validation acc: 0.290
[40] Train loss: 0.001, Train acc: 1.000
[40] Validation loss: 3.057, Validation acc: 0.290
[41] Train loss: 0.001, Train acc: 1.000
[41] Validation loss: 3.056, Validation acc: 0.289
[42] Train loss: 0.001, Train acc: 1.000
[42] Validation loss: 3.070, Validation acc: 0.290
[43] Train loss: 0.001, Train acc: 1.000
[43] Validation loss: 3.064, Validation acc: 0.290
[44] Train loss: 0.001, Train acc: 1.000
[44] Validation loss: 3.074, Validation acc: 0.290
[45] Train loss: 0.001, Train acc: 1.000
[45] Validation loss: 3.086, Validation acc: 0.290
[46] Train loss: 0.001, Train acc: 1.000
[46] Validation loss: 3.091, Validation acc: 0.290
[47] Train loss: 0.001, Train acc: 1.000
[47] Validation loss: 3.101, Validation acc: 0.290
[48] Train loss: 0.001, Train acc: 1.000
[48] Validation loss: 3.117, Validation acc: 0.290
[49] Train loss: 0.001, Train acc: 1.000
[49] Validation loss: 3.120, Validation acc: 0.290
[50] Train loss: 0.001, Train acc: 1.000
[50] Validation loss: 3.133, Validation acc: 0.290
[51] Train loss: 0.001, Train acc: 1.000
[51] Validation loss: 3.133, Validation acc: 0.290
[52] Train loss: 0.001, Train acc: 1.000
[52] Validation loss: 3.130, Validation acc: 0.290
[53] Train loss: 0.001, Train acc: 1.000
[53] Validation loss: 3.137, Validation acc: 0.290
[54] Train loss: 0.001, Train acc: 1.000
[54] Validation loss: 3.149, Validation acc: 0.290
[55] Train loss: 0.001, Train acc: 1.000
[55] Validation loss: 3.156, Validation acc: 0.290
[56] Train loss: 0.001, Train acc: 1.000
[56] Validation loss: 3.166, Validation acc: 0.290
[57] Train loss: 0.001, Train acc: 1.000
[57] Validation loss: 3.179, Validation acc: 0.290
[58] Train loss: 0.001, Train acc: 1.000
[58] Validation loss: 3.169, Validation acc: 0.290
[59] Train loss: 0.001, Train acc: 1.000
[59] Validation loss: 3.192, Validation acc: 0.290
[60] Train loss: 0.001, Train acc: 1.000
[60] Validation loss: 3.177, Validation acc: 0.290
[61] Train loss: 0.001, Train acc: 1.000
[61] Validation loss: 3.199, Validation acc: 0.290
[62] Train loss: 0.001, Train acc: 1.000
[62] Validation loss: 3.202, Validation acc: 0.290
[63] Train loss: 0.001, Train acc: 1.000
[63] Validation loss: 3.199, Validation acc: 0.290
[64] Train loss: 0.001, Train acc: 1.000
[64] Validation loss: 3.208, Validation acc: 0.290
[65] Train loss: 0.001, Train acc: 1.000
[65] Validation loss: 3.210, Validation acc: 0.290
[66] Train loss: 0.001, Train acc: 1.000
[66] Validation loss: 3.211, Validation acc: 0.290
[67] Train loss: 0.001, Train acc: 1.000
[67] Validation loss: 3.228, Validation acc: 0.290
[68] Train loss: 0.001, Train acc: 1.000
[68] Validation loss: 3.228, Validation acc: 0.290
[69] Train loss: 0.001, Train acc: 1.000
[69] Validation loss: 3.240, Validation acc: 0.290
[70] Train loss: 0.001, Train acc: 1.000
[70] Validation loss: 3.234, Validation acc: 0.290
[71] Train loss: 0.001, Train acc: 1.000
[71] Validation loss: 3.243, Validation acc: 0.291
[72] Train loss: 0.001, Train acc: 1.000
[72] Validation loss: 3.244, Validation acc: 0.291
[73] Train loss: 0.001, Train acc: 1.000
[73] Validation loss: 3.255, Validation acc: 0.291
[74] Train loss: 0.001, Train acc: 1.000
