[1] Train loss: 1.695, Train acc: 0.236
[1] Validation loss: 1.688, Validation acc: 0.260
[2] Train loss: 0.587, Train acc: 0.860
[2] Validation loss: 1.943, Validation acc: 0.286
[3] Train loss: 0.164, Train acc: 0.994
[3] Validation loss: 2.163, Validation acc: 0.291
[4] Train loss: 0.056, Train acc: 1.000
[4] Validation loss: 2.290, Validation acc: 0.294
[5] Train loss: 0.029, Train acc: 1.000
[5] Validation loss: 2.371, Validation acc: 0.294
[6] Train loss: 0.023, Train acc: 1.000
[6] Validation loss: 2.450, Validation acc: 0.296
[7] Train loss: 0.018, Train acc: 1.000
[7] Validation loss: 2.506, Validation acc: 0.297
[8] Train loss: 0.013, Train acc: 1.000
[8] Validation loss: 2.558, Validation acc: 0.297
[9] Train loss: 0.010, Train acc: 1.000
[9] Validation loss: 2.593, Validation acc: 0.298
[10] Train loss: 0.010, Train acc: 1.000
[10] Validation loss: 2.648, Validation acc: 0.297
[11] Train loss: 0.008, Train acc: 1.000
[11] Validation loss: 2.672, Validation acc: 0.297
[12] Train loss: 0.007, Train acc: 1.000
[12] Validation loss: 2.712, Validation acc: 0.298
[13] Train loss: 0.006, Train acc: 1.000
[13] Validation loss: 2.730, Validation acc: 0.296
[14] Train loss: 0.005, Train acc: 1.000
[14] Validation loss: 2.752, Validation acc: 0.297
[15] Train loss: 0.006, Train acc: 1.000
[15] Validation loss: 2.777, Validation acc: 0.299
[16] Train loss: 0.006, Train acc: 1.000
[16] Validation loss: 2.818, Validation acc: 0.297
[17] Train loss: 0.004, Train acc: 1.000
[17] Validation loss: 2.837, Validation acc: 0.297
[18] Train loss: 0.005, Train acc: 1.000
[18] Validation loss: 2.861, Validation acc: 0.298
[19] Train loss: 0.004, Train acc: 1.000
[19] Validation loss: 2.880, Validation acc: 0.297
[20] Train loss: 0.003, Train acc: 1.000
[20] Validation loss: 2.892, Validation acc: 0.300
[21] Train loss: 0.004, Train acc: 1.000
[21] Validation loss: 2.904, Validation acc: 0.299
[22] Train loss: 0.004, Train acc: 1.000
[22] Validation loss: 2.937, Validation acc: 0.298
[23] Train loss: 0.002, Train acc: 1.000
[23] Validation loss: 2.943, Validation acc: 0.298
[24] Train loss: 0.004, Train acc: 1.000
[24] Validation loss: 2.969, Validation acc: 0.300
[25] Train loss: 0.003, Train acc: 1.000
[25] Validation loss: 2.987, Validation acc: 0.299
[26] Train loss: 0.003, Train acc: 1.000
[26] Validation loss: 3.001, Validation acc: 0.300
[27] Train loss: 0.003, Train acc: 1.000
[27] Validation loss: 3.022, Validation acc: 0.297
[28] Train loss: 0.002, Train acc: 1.000
[28] Validation loss: 3.029, Validation acc: 0.299
[29] Train loss: 0.003, Train acc: 1.000
[29] Validation loss: 3.043, Validation acc: 0.299
[30] Train loss: 0.002, Train acc: 1.000
[30] Validation loss: 3.047, Validation acc: 0.299
[31] Train loss: 0.002, Train acc: 1.000
[31] Validation loss: 3.070, Validation acc: 0.297
[32] Train loss: 0.003, Train acc: 1.000
[32] Validation loss: 3.095, Validation acc: 0.300
[33] Train loss: 0.002, Train acc: 1.000
[33] Validation loss: 3.081, Validation acc: 0.300
[34] Train loss: 0.002, Train acc: 1.000
[34] Validation loss: 3.099, Validation acc: 0.298
[35] Train loss: 0.002, Train acc: 1.000
[35] Validation loss: 3.095, Validation acc: 0.301
[36] Train loss: 0.002, Train acc: 1.000
[36] Validation loss: 3.096, Validation acc: 0.300
[37] Train loss: 0.003, Train acc: 1.000
[37] Validation loss: 3.141, Validation acc: 0.300
[38] Train loss: 0.002, Train acc: 1.000
[38] Validation loss: 3.140, Validation acc: 0.301
[39] Train loss: 0.002, Train acc: 1.000
[39] Validation loss: 3.143, Validation acc: 0.301
[40] Train loss: 0.002, Train acc: 1.000
[40] Validation loss: 3.170, Validation acc: 0.298
[41] Train loss: 0.002, Train acc: 1.000
[41] Validation loss: 3.169, Validation acc: 0.301
[42] Train loss: 0.002, Train acc: 1.000
[42] Validation loss: 3.195, Validation acc: 0.301
[43] Train loss: 0.002, Train acc: 1.000
[43] Validation loss: 3.193, Validation acc: 0.303
[44] Train loss: 0.002, Train acc: 1.000
[44] Validation loss: 3.201, Validation acc: 0.300
[45] Train loss: 0.001, Train acc: 1.000
[45] Validation loss: 3.205, Validation acc: 0.301
[46] Train loss: 0.001, Train acc: 1.000
[46] Validation loss: 3.218, Validation acc: 0.302
[47] Train loss: 0.001, Train acc: 1.000
[47] Validation loss: 3.215, Validation acc: 0.301
[48] Train loss: 0.002, Train acc: 1.000
[48] Validation loss: 3.231, Validation acc: 0.303
[49] Train loss: 0.001, Train acc: 1.000
[49] Validation loss: 3.248, Validation acc: 0.300
[50] Train loss: 0.001, Train acc: 1.000
[50] Validation loss: 3.245, Validation acc: 0.299
[51] Train loss: 0.001, Train acc: 1.000
[51] Validation loss: 3.242, Validation acc: 0.298
[52] Train loss: 0.001, Train acc: 1.000
[52] Validation loss: 3.251, Validation acc: 0.299
[53] Train loss: 0.001, Train acc: 1.000
[53] Validation loss: 3.246, Validation acc: 0.301
[54] Train loss: 0.003, Train acc: 1.000
[54] Validation loss: 3.301, Validation acc: 0.300
[55] Train loss: 0.001, Train acc: 1.000
[55] Validation loss: 3.292, Validation acc: 0.301
[56] Train loss: 0.001, Train acc: 1.000
[56] Validation loss: 3.291, Validation acc: 0.302
[57] Train loss: 0.001, Train acc: 1.000
[57] Validation loss: 3.307, Validation acc: 0.298
[58] Train loss: 0.001, Train acc: 1.000
[58] Validation loss: 3.308, Validation acc: 0.300
[59] Train loss: 0.001, Train acc: 1.000
[59] Validation loss: 3.296, Validation acc: 0.299
[60] Train loss: 0.001, Train acc: 1.000
[60] Validation loss: 3.306, Validation acc: 0.300
[61] Train loss: 0.001, Train acc: 1.000
[61] Validation loss: 3.317, Validation acc: 0.301
[62] Train loss: 0.001, Train acc: 1.000
[62] Validation loss: 3.327, Validation acc: 0.298
[63] Train loss: 0.001, Train acc: 1.000
[63] Validation loss: 3.335, Validation acc: 0.300
At epoch 62, lr changed to 0.010000000000000002
[64] Train loss: 0.001, Train acc: 1.000
[64] Validation loss: 3.348, Validation acc: 0.302
[65] Train loss: 0.001, Train acc: 1.000
[65] Validation loss: 3.331, Validation acc: 0.301
[66] Train loss: 0.001, Train acc: 1.000
[66] Validation loss: 3.338, Validation acc: 0.300
[67] Train loss: 0.001, Train acc: 1.000
[67] Validation loss: 3.334, Validation acc: 0.299
[68] Train loss: 0.001, Train acc: 1.000
