[1] Train loss: 1.609, Train acc: 0.227
[1] Validation loss: 1.547, Validation acc: 0.306
[2] Train loss: 0.939, Train acc: 0.711
[2] Validation loss: 1.624, Validation acc: 0.350
[3] Train loss: 0.418, Train acc: 0.894
[3] Validation loss: 1.841, Validation acc: 0.371
[4] Train loss: 0.156, Train acc: 0.983
[4] Validation loss: 2.014, Validation acc: 0.381
[5] Train loss: 0.053, Train acc: 0.999
[5] Validation loss: 2.131, Validation acc: 0.380
[6] Train loss: 0.029, Train acc: 1.000
[6] Validation loss: 2.212, Validation acc: 0.382
[7] Train loss: 0.020, Train acc: 1.000
[7] Validation loss: 2.283, Validation acc: 0.384
[8] Train loss: 0.016, Train acc: 1.000
[8] Validation loss: 2.336, Validation acc: 0.386
[9] Train loss: 0.013, Train acc: 1.000
[9] Validation loss: 2.381, Validation acc: 0.387
[10] Train loss: 0.011, Train acc: 1.000
[10] Validation loss: 2.420, Validation acc: 0.386
[11] Train loss: 0.009, Train acc: 1.000
[11] Validation loss: 2.448, Validation acc: 0.388
[12] Train loss: 0.008, Train acc: 1.000
[12] Validation loss: 2.489, Validation acc: 0.388
[13] Train loss: 0.007, Train acc: 1.000
[13] Validation loss: 2.517, Validation acc: 0.388
[14] Train loss: 0.006, Train acc: 1.000
[14] Validation loss: 2.541, Validation acc: 0.387
[15] Train loss: 0.006, Train acc: 1.000
[15] Validation loss: 2.570, Validation acc: 0.388
[16] Train loss: 0.005, Train acc: 1.000
[16] Validation loss: 2.590, Validation acc: 0.387
[17] Train loss: 0.005, Train acc: 1.000
[17] Validation loss: 2.612, Validation acc: 0.388
[18] Train loss: 0.005, Train acc: 1.000
[18] Validation loss: 2.631, Validation acc: 0.388
[19] Train loss: 0.004, Train acc: 1.000
[19] Validation loss: 2.664, Validation acc: 0.388
[20] Train loss: 0.004, Train acc: 1.000
[20] Validation loss: 2.672, Validation acc: 0.388
[21] Train loss: 0.004, Train acc: 1.000
[21] Validation loss: 2.689, Validation acc: 0.389
[22] Train loss: 0.004, Train acc: 1.000
[22] Validation loss: 2.709, Validation acc: 0.389
[23] Train loss: 0.003, Train acc: 1.000
[23] Validation loss: 2.722, Validation acc: 0.390
[24] Train loss: 0.003, Train acc: 1.000
[24] Validation loss: 2.740, Validation acc: 0.390
[25] Train loss: 0.003, Train acc: 1.000
[25] Validation loss: 2.754, Validation acc: 0.390
[26] Train loss: 0.003, Train acc: 1.000
[26] Validation loss: 2.774, Validation acc: 0.391
[27] Train loss: 0.003, Train acc: 1.000
[27] Validation loss: 2.789, Validation acc: 0.390
[28] Train loss: 0.003, Train acc: 1.000
[28] Validation loss: 2.799, Validation acc: 0.390
[29] Train loss: 0.002, Train acc: 1.000
[29] Validation loss: 2.804, Validation acc: 0.391
[30] Train loss: 0.002, Train acc: 1.000
[30] Validation loss: 2.811, Validation acc: 0.391
[31] Train loss: 0.002, Train acc: 1.000
[31] Validation loss: 2.828, Validation acc: 0.391
[32] Train loss: 0.002, Train acc: 1.000
[32] Validation loss: 2.838, Validation acc: 0.391
[33] Train loss: 0.002, Train acc: 1.000
[33] Validation loss: 2.848, Validation acc: 0.391
[34] Train loss: 0.002, Train acc: 1.000
[34] Validation loss: 2.860, Validation acc: 0.392
[35] Train loss: 0.002, Train acc: 1.000
[35] Validation loss: 2.872, Validation acc: 0.392
[36] Train loss: 0.002, Train acc: 1.000
[36] Validation loss: 2.888, Validation acc: 0.392
[37] Train loss: 0.002, Train acc: 1.000
[37] Validation loss: 2.884, Validation acc: 0.392
[38] Train loss: 0.002, Train acc: 1.000
[38] Validation loss: 2.900, Validation acc: 0.392
[39] Train loss: 0.002, Train acc: 1.000
[39] Validation loss: 2.904, Validation acc: 0.392
[40] Train loss: 0.002, Train acc: 1.000
[40] Validation loss: 2.916, Validation acc: 0.392
[41] Train loss: 0.002, Train acc: 1.000
[41] Validation loss: 2.921, Validation acc: 0.392
[42] Train loss: 0.002, Train acc: 1.000
[42] Validation loss: 2.928, Validation acc: 0.392
[43] Train loss: 0.001, Train acc: 1.000
[43] Validation loss: 2.938, Validation acc: 0.393
[44] Train loss: 0.001, Train acc: 1.000
[44] Validation loss: 2.950, Validation acc: 0.393
[45] Train loss: 0.001, Train acc: 1.000
[45] Validation loss: 2.946, Validation acc: 0.393
[46] Train loss: 0.001, Train acc: 1.000
[46] Validation loss: 2.962, Validation acc: 0.393
[47] Train loss: 0.001, Train acc: 1.000
[47] Validation loss: 2.970, Validation acc: 0.393
[48] Train loss: 0.001, Train acc: 1.000
[48] Validation loss: 2.976, Validation acc: 0.393
[49] Train loss: 0.001, Train acc: 1.000
[49] Validation loss: 2.994, Validation acc: 0.393
[50] Train loss: 0.001, Train acc: 1.000
[50] Validation loss: 2.992, Validation acc: 0.393
[51] Train loss: 0.001, Train acc: 1.000
[51] Validation loss: 3.006, Validation acc: 0.393
[52] Train loss: 0.001, Train acc: 1.000
[52] Validation loss: 3.014, Validation acc: 0.393
[53] Train loss: 0.001, Train acc: 1.000
[53] Validation loss: 3.003, Validation acc: 0.394
[54] Train loss: 0.001, Train acc: 1.000
[54] Validation loss: 3.007, Validation acc: 0.393
[55] Train loss: 0.001, Train acc: 1.000
[55] Validation loss: 3.023, Validation acc: 0.393
[56] Train loss: 0.001, Train acc: 1.000
[56] Validation loss: 3.024, Validation acc: 0.393
[57] Train loss: 0.001, Train acc: 1.000
[57] Validation loss: 3.037, Validation acc: 0.394
[58] Train loss: 0.001, Train acc: 1.000
[58] Validation loss: 3.047, Validation acc: 0.394
[59] Train loss: 0.001, Train acc: 1.000
[59] Validation loss: 3.046, Validation acc: 0.394
[60] Train loss: 0.001, Train acc: 1.000
[60] Validation loss: 3.052, Validation acc: 0.394
[61] Train loss: 0.001, Train acc: 1.000
[61] Validation loss: 3.072, Validation acc: 0.394
[62] Train loss: 0.001, Train acc: 1.000
[62] Validation loss: 3.059, Validation acc: 0.394
[63] Train loss: 0.001, Train acc: 1.000
[63] Validation loss: 3.064, Validation acc: 0.394
[64] Train loss: 0.001, Train acc: 1.000
[64] Validation loss: 3.079, Validation acc: 0.394
[65] Train loss: 0.001, Train acc: 1.000
[65] Validation loss: 3.094, Validation acc: 0.395
[66] Train loss: 0.001, Train acc: 1.000
[66] Validation loss: 3.090, Validation acc: 0.394
[67] Train loss: 0.001, Train acc: 1.000
[67] Validation loss: 3.097, Validation acc: 0.395
[68] Train loss: 0.001, Train acc: 1.000
[68] Validation loss: 3.102, Validation acc: 0.395
[69] Train loss: 0.001, Train acc: 1.000
[69] Validation loss: 3.098, Validation acc: 0.395
[70] Train loss: 0.001, Train acc: 1.000
[70] Validation loss: 3.099, Validation acc: 0.395
[71] Train loss: 0.001, Train acc: 1.000
[71] Validation loss: 3.114, Validation acc: 0.395
[72] Train loss: 0.001, Train acc: 1.000
[72] Validation loss: 3.125, Validation acc: 0.395
[73] Train loss: 0.001, Train acc: 1.000
[73] Validation loss: 3.113, Validation acc: 0.395
[74] Train loss: 0.001, Train acc: 1.000
[74] Validation loss: 3.121, Validation acc: 0.394
[75] Train loss: 0.001, Train acc: 1.000
[75] Validation loss: 3.129, Validation acc: 0.394
[76] Train loss: 0.001, Train acc: 1.000
[76] Validation loss: 3.137, Validation acc: 0.394
[77] Train loss: 0.001, Train acc: 1.000
[77] Validation loss: 3.132, Validation acc: 0.394
[78] Train loss: 0.001, Train acc: 1.000
[78] Validation loss: 3.137, Validation acc: 0.394
