[1] Train loss: 1.550, Train acc: 0.295
[1] Validation loss: 1.434, Validation acc: 0.386
[2] Train loss: 0.880, Train acc: 0.699
[2] Validation loss: 1.337, Validation acc: 0.479
[3] Train loss: 0.416, Train acc: 0.872
[3] Validation loss: 1.297, Validation acc: 0.538
[4] Train loss: 0.168, Train acc: 0.963
[4] Validation loss: 1.306, Validation acc: 0.577
[5] Train loss: 0.052, Train acc: 0.999
[5] Validation loss: 1.320, Validation acc: 0.585
[6] Train loss: 0.021, Train acc: 1.000
[6] Validation loss: 1.351, Validation acc: 0.590
[7] Train loss: 0.013, Train acc: 1.000
[7] Validation loss: 1.359, Validation acc: 0.592
[8] Train loss: 0.010, Train acc: 1.000
[8] Validation loss: 1.378, Validation acc: 0.597
[9] Train loss: 0.008, Train acc: 1.000
[9] Validation loss: 1.395, Validation acc: 0.598
[10] Train loss: 0.007, Train acc: 1.000
[10] Validation loss: 1.411, Validation acc: 0.600
[11] Train loss: 0.006, Train acc: 1.000
[11] Validation loss: 1.421, Validation acc: 0.599
[12] Train loss: 0.005, Train acc: 1.000
[12] Validation loss: 1.426, Validation acc: 0.600
[13] Train loss: 0.005, Train acc: 1.000
[13] Validation loss: 1.442, Validation acc: 0.601
[14] Train loss: 0.004, Train acc: 1.000
[14] Validation loss: 1.446, Validation acc: 0.602
[15] Train loss: 0.004, Train acc: 1.000
[15] Validation loss: 1.455, Validation acc: 0.603
[16] Train loss: 0.004, Train acc: 1.000
[16] Validation loss: 1.466, Validation acc: 0.604
[17] Train loss: 0.003, Train acc: 1.000
[17] Validation loss: 1.474, Validation acc: 0.605
[18] Train loss: 0.003, Train acc: 1.000
[18] Validation loss: 1.478, Validation acc: 0.606
[19] Train loss: 0.003, Train acc: 1.000
[19] Validation loss: 1.489, Validation acc: 0.607
[20] Train loss: 0.003, Train acc: 1.000
[20] Validation loss: 1.488, Validation acc: 0.607
[21] Train loss: 0.003, Train acc: 1.000
[21] Validation loss: 1.497, Validation acc: 0.608
[22] Train loss: 0.002, Train acc: 1.000
[22] Validation loss: 1.506, Validation acc: 0.608
[23] Train loss: 0.002, Train acc: 1.000
